year,state,path,seats,child_seats_left,child_seats_right,equal_child_seats,unit_count,minimum_deviation_candidates,minimum_deviation_cut_candidates,minimum_deviation_cut_partitions,orientation_only_tie,physical_cut_opportunity,nrs_v0_2_fallback_activated,nrs_v0_3_fallback_activated,assignment_match,objective_match
2000,CA,0011,3,1,2,false,23404,1,1,1,false,false,false,false,true,true
2000,CA,0100,4,2,2,true,26074,2,2,1,true,false,false,false,true,true
2000,CA,0101,3,1,2,false,41288,1,1,1,false,false,false,false,true,true
2000,CA,0110,4,2,2,true,87715,2,2,1,true,false,false,false,true,true
2000,CA,0111,3,2,1,false,18342,1,1,1,false,false,false,false,true,true
2000,CA,1000,3,1,2,false,39057,1,1,1,false,false,false,false,true,true
2000,CA,1001,3,1,2,false,16111,1,1,1,false,false,false,false,true,true
2000,CA,1010,3,1,2,false,17881,1,1,1,false,false,false,false,true,true
2000,CA,1011,4,2,2,true,21385,2,2,1,true,false,false,false,true,true
2000,CA,1100,3,1,2,false,27173,1,1,1,false,false,false,false,true,true
2000,CA,1101,3,2,1,false,18493,1,1,1,false,false,false,false,true,true
2000,CA,1110,4,2,2,true,25178,8,2,1,true,false,false,false,true,true
2000,CA,1111,3,1,2,false,17600,1,1,1,false,false,false,false,true,true
2000,CA,root,53,27,26,false,533163,1,1,1,false,false,false,false,true,true
2000,CA,00000,2,1,1,true,45005,2,2,1,true,false,false,false,true,true
2000,CA,00011,2,1,1,true,11682,2,2,1,true,false,false,false,true,true
2000,CA,00100,2,1,1,true,31564,2,2,1,true,false,false,false,true,true
2000,CA,00101,2,1,1,true,37590,2,2,1,true,false,false,false,true,true
2000,CA,00111,2,1,1,true,16643,2,2,1,true,false,false,false,true,true
2000,CA,01000,2,1,1,true,13634,2,2,1,true,false,false,false,true,true
2000,CA,01001,2,1,1,true,12440,2,2,1,true,false,false,false,true,true
2000,CA,01011,2,1,1,true,26365,4,2,1,true,false,false,false,true,true
2000,CA,01100,2,1,1,true,38557,4,2,1,true,false,false,false,true,true
2000,CA,01101,2,1,1,true,49158,2,2,1,true,false,false,false,true,true
2000,CA,01110,2,1,1,true,12153,2,2,1,true,false,false,false,true,true
2000,CA,10001,2,1,1,true,15273,2,2,1,true,false,false,false,true,true
2000,CA,10011,2,1,1,true,10186,2,2,1,true,false,false,false,true,true
2000,CA,10101,2,1,1,true,12179,2,2,1,true,false,false,false,true,true
2000,CA,10110,2,1,1,true,11285,2,2,1,true,false,false,false,true,true
2000,CA,10111,2,1,1,true,10100,2,2,1,true,false,false,false,true,true
2000,CA,11001,2,1,1,true,15811,2,2,1,true,false,false,false,true,true
2000,CA,11010,2,1,1,true,12888,6,2,1,true,false,true,false,true,true
2000,CA,11100,2,1,1,true,14500,2,2,1,true,false,false,false,true,true
2000,CA,11101,2,1,1,true,10678,2,2,1,true,false,false,false,true,true
2000,CA,11111,2,1,1,true,11523,6,2,1,true,false,false,false,true,true
2000,CO,0,3,2,1,false,49073,1,1,1,false,false,false,false,true,true
2000,CO,1,4,2,2,true,91967,2,2,1,true,false,false,false,true,true
2000,CO,00,2,1,1,true,36617,2,2,1,true,false,false,false,true,true
2000,CO,10,2,1,1,true,54551,2,2,1,true,false,false,false,true,true
2000,CO,11,2,1,1,true,37416,2,2,1,true,false,false,false,true,true
2000,CO,root,7,3,4,false,141040,1,1,1,false,false,false,false,true,true
2000,CT,0,3,1,2,false,33045,1,1,1,false,false,false,false,true,true
2000,CT,1,2,1,1,true,20790,6,2,1,true,false,false,false,true,true
2000,CT,01,2,1,1,true,21231,2,2,1,true,false,false,false,true,true
2000,CT,root,5,3,2,false,53835,1,1,1,false,false,false,false,true,true
2000,FL,0,13,7,6,false,211826,1,1,1,false,false,false,false,true,true
2000,FL,1,12,6,6,true,150673,2,2,1,true,false,false,false,true,true
2000,FL,00,7,3,4,false,124136,1,1,1,false,false,false,false,true,true
2000,FL,01,6,3,3,true,87690,2,2,1,true,false,false,false,true,true
2000,FL,10,6,3,3,true,89271,4,2,1,true,false,false,false,true,true
2000,FL,11,6,3,3,true,61402,2,2,1,true,false,false,false,true,true
2000,FL,000,3,2,1,false,70067,1,1,1,false,false,false,false,true,true
2000,FL,001,4,2,2,true,54069,2,2,1,true,false,false,false,true,true
2000,FL,010,3,2,1,false,47273,1,1,1,false,false,false,false,true,true
2000,FL,011,3,2,1,false,40417,1,1,1,false,false,false,false,true,true
2000,FL,100,3,2,1,false,41067,1,1,1,false,false,false,false,true,true
2000,FL,101,3,2,1,false,48204,1,1,1,false,false,false,false,true,true
2000,FL,110,3,1,2,false,23173,1,1,1,false,false,false,false,true,true
2000,FL,111,3,2,1,false,38229,1,1,1,false,false,false,false,true,true
2000,FL,0000,2,1,1,true,45784,2,2,1,true,false,false,false,true,true
2000,FL,0010,2,1,1,true,28543,6,2,1,true,false,false,false,true,true
2000,FL,0011,2,1,1,true,25526,4,2,1,true,false,false,false,true,true
2000,FL,0100,2,1,1,true,36435,2,2,1,true,false,false,false,true,true
2000,FL,0110,2,1,1,true,25795,2,2,1,true,false,false,false,true,true
2000,FL,1000,2,1,1,true,34084,2,2,1,true,false,false,false,true,true
2000,FL,1010,2,1,1,true,38407,8,2,1,true,false,false,false,true,true
2000,FL,1101,2,1,1,true,15078,4,2,1,true,false,false,false,true,true
2000,FL,1110,2,1,1,true,28612,4,2,1,true,false,false,false,true,true
2000,FL,root,25,13,12,false,362499,1,1,1,false,false,false,false,true,true
2000,GA,0,7,3,4,false,103396,1,1,1,false,false,false,false,true,true
2000,GA,1,6,3,3,true,111180,2,2,1,true,false,false,false,true,true
2000,GA,00,3,2,1,false,69378,1,1,1,false,false,false,false,true,true
2000,GA,01,4,2,2,true,34018,2,2,1,true,false,false,false,true,true
2000,GA,10,3,2,1,false,42231,1,1,1,false,false,false,false,true,true
2000,GA,11,3,2,1,false,68949,1,1,1,false,false,false,false,true,true
2000,GA,000,2,1,1,true,52782,18,2,1,true,false,false,false,true,true
2000,GA,010,2,1,1,true,20502,2,2,1,true,false,false,false,true,true
2000,GA,011,2,1,1,true,13516,2,2,1,true,false,false,false,true,true
2000,GA,100,2,1,1,true,34184,2,2,1,true,false,true,false,true,true
2000,GA,110,2,1,1,true,38887,2,2,1,true,false,false,false,true,true
2000,GA,root,13,7,6,false,214576,1,1,1,false,false,false,false,true,true
2000,HI,root,2,1,1,true,18990,2,2,1,true,false,true,true,true,true
2000,IA,0,2,1,1,true,56150,2,2,1,true,false,false,false,true,true
2000,IA,1,3,1,2,false,111925,1,1,1,false,false,false,false,true,true
2000,IA,11,2,1,1,true,89006,2,2,1,true,false,false,false,true,true
2000,IA,root,5,2,3,false,168075,1,1,1,false,false,false,false,true,true
2000,ID,root,2,1,1,true,88452,2,2,1,true,false,false,false,true,true
2000,IL,0,10,5,5,true,120552,2,2,1,true,false,false,false,true,true
2000,IL,1,9,4,5,false,245585,1,1,1,false,false,false,false,true,true
2000,IL,00,5,3,2,false,81109,1,1,1,false,false,false,false,true,true
2000,IL,01,5,3,2,false,39443,1,1,1,false,false,false,false,true,true
2000,IL,10,4,2,2,true,62908,2,2,1,true,false,false,false,true,true
2000,IL,11,5,3,2,false,182677,1,1,1,false,false,false,false,true,true
2000,IL,000,3,1,2,false,65820,1,1,1,false,false,false,false,true,true
2000,IL,001,2,1,1,true,15289,2,2,1,true,false,false,false,true,true
2000,IL,010,3,2,1,false,17021,1,1,1,false,false,false,false,true,true
2000,IL,011,2,1,1,true,22422,2,2,1,true,false,false,false,true,true
2000,IL,100,2,1,1,true,41994,2,2,1,true,false,false,false,true,true
2000,IL,101,2,1,1,true,20914,2,2,1,true,false,false,false,true,true
2000,IL,110,3,2,1,false,99032,4,1,1,false,false,false,false,true,true
2000,IL,111,2,1,1,true,83645,2,2,1,true,false,false,false,true,true
2000,IL,0001,2,1,1,true,46488,2,2,1,true,false,false,false,true,true
2000,IL,0100,2,1,1,true,10677,2,2,1,true,false,false,false,true,true
2000,IL,1100,2,1,1,true,68707,2,2,1,true,false,false,false,true,true
2000,IL,root,19,10,9,false,366137,1,1,1,false,false,false,false,true,true
2000,IN,0,4,2,2,true,87977,2,2,1,true,false,false,false,true,true
2000,IN,1,5,3,2,false,113344,1,1,1,false,false,false,false,true,true
2000,IN,00,2,1,1,true,35032,2,2,1,true,false,false,false,true,true
2000,IN,01,2,1,1,true,52945,2,2,1,true,false,false,false,true,true
2000,IN,10,3,2,1,false,58940,1,1,1,false,false,false,false,true,true
2000,IN,11,2,1,1,true,54404,2,2,1,true,false,false,false,true,true
2000,IN,100,2,1,1,true,43981,2,2,1,true,false,false,false,true,true
2000,IN,root,9,4,5,false,201321,1,1,1,false,false,false,false,true,true
2000,KS,0,2,1,1,true,69366,8,2,1,true,false,false,false,true,true
2000,KS,1,2,1,1,true,103741,2,2,1,true,false,false,false,true,true
2000,KS,root,4,2,2,true,173107,2,2,1,true,false,false,false,true,true
2000,KY,0,3,2,1,false,61590,1,1,1,false,false,false,false,true,true
2000,KY,1,3,2,1,false,60551,1,1,1,false,false,false,false,true,true
2000,KY,00,2,1,1,true,48387,2,2,1,true,false,false,false,true,true
2000,KY,10,2,1,1,true,32590,2,2,1,true,false,false,false,true,true
2000,KY,root,6,3,3,true,122141,2,2,1,true,false,false,false,true,true
2000,LA,0,3,1,2,false,43130,1,1,1,false,false,false,false,true,true
2000,LA,1,4,2,2,true,96737,2,2,1,true,false,false,false,true,true
2000,LA,01,2,1,1,true,25783,8,2,1,true,false,false,false,true,true
2000,LA,10,2,1,1,true,56797,2,2,1,true,false,false,false,true,true
2000,LA,11,2,1,1,true,39940,2,2,1,true,false,false,false,true,true
2000,LA,root,7,3,4,false,139867,1,1,1,false,false,false,false,true,true
2000,MA,0,5,2,3,false,54893,1,1,1,false,false,false,false,true,true
2000,MA,1,5,2,3,false,55104,1,1,1,false,false,false,false,true,true
2000,MA,00,2,1,1,true,22736,2,2,1,true,false,false,false,true,true
2000,MA,01,3,1,2,false,32157,1,1,1,false,false,false,false,true,true
2000,MA,10,2,1,1,true,18009,4,2,1,true,false,false,false,true,true
2000,MA,11,3,1,2,false,37095,1,1,1,false,false,false,false,true,true
2000,MA,011,2,1,1,true,18680,2,2,1,true,false,false,false,true,true
2000,MA,111,2,1,1,true,23654,2,2,1,true,false,false,false,true,true
2000,MA,root,10,5,5,true,109997,2,2,1,true,false,false,false,true,true
2000,MD,0,4,2,2,true,39698,2,2,1,true,false,false,false,true,true
2000,MD,1,4,2,2,true,39430,2,2,1,true,false,false,false,true,true
2000,MD,00,2,1,1,true,21176,2,2,1,true,false,false,false,true,true
2000,MD,01,2,1,1,true,18522,2,2,1,true,false,false,false,true,true
2000,MD,10,2,1,1,true,12773,2,2,1,true,false,false,false,true,true
2000,MD,11,2,1,1,true,26657,2,2,1,true,false,false,false,true,true
2000,MD,root,8,4,4,true,79128,2,2,1,true,false,false,false,true,true
2000,ME,root,2,1,1,true,56893,4,2,1,true,false,false,false,true,true
2000,MI,0,7,3,4,false,158831,1,1,1,false,false,false,false,true,true
2000,MI,1,8,4,4,true,100094,2,2,1,true,false,false,false,true,true
2000,MI,00,3,1,2,false,108006,1,1,1,false,false,false,false,true,true
2000,MI,01,4,2,2,true,50825,2,2,1,true,false,false,false,true,true
2000,MI,10,4,2,2,true,48698,2,2,1,true,false,false,false,true,true
2000,MI,11,4,2,2,true,51396,2,2,1,true,false,false,false,true,true
2000,MI,001,2,1,1,true,56260,2,2,1,true,false,false,false,true,true
2000,MI,010,2,1,1,true,27676,2,2,1,true,false,false,false,true,true
2000,MI,011,2,1,1,true,23149,2,2,1,true,false,false,false,true,true
2000,MI,100,2,1,1,true,28221,2,2,1,true,false,false,false,true,true
2000,MI,101,2,1,1,true,20477,10,2,1,true,false,false,false,true,true
2000,MI,110,2,1,1,true,25476,2,2,1,true,false,false,false,true,true
2000,MI,111,2,1,1,true,25920,2,2,1,true,false,false,false,true,true
2000,MI,root,15,7,8,false,258925,1,1,1,false,false,false,false,true,true
2000,MN,0,4,2,2,true,114733,2,2,1,true,false,false,false,true,true
2000,MN,1,4,2,2,true,85489,2,2,1,true,false,false,false,true,true
2000,MN,00,2,1,1,true,95106,2,2,1,true,false,false,false,true,true
2000,MN,01,2,1,1,true,19627,2,2,1,true,false,false,false,true,true
2000,MN,10,2,1,1,true,25587,2,2,1,true,false,false,false,true,true
2000,MN,11,2,1,1,true,59902,2,2,1,true,false,false,false,true,true
2000,MN,root,8,4,4,true,200222,2,2,1,true,false,false,false,true,true
2000,MO,0,5,3,2,false,128077,1,1,1,false,false,false,false,true,true
2000,MO,1,4,2,2,true,113455,2,2,1,true,false,false,false,true,true
2000,MO,00,3,1,2,false,89457,3,1,1,false,false,false,false,true,true
2000,MO,01,2,1,1,true,38620,2,2,1,true,false,false,false,true,true
2000,MO,10,2,1,1,true,63041,4,2,1,true,false,false,false,true,true
2000,MO,11,2,1,1,true,50414,2,2,1,true,false,false,false,true,true
2000,MO,001,2,1,1,true,40234,24,2,1,true,false,false,false,true,true
2000,MO,root,9,5,4,false,241532,1,1,1,false,false,false,false,true,true
2000,MS,0,2,1,1,true,70825,2,2,1,true,false,false,false,true,true
2000,MS,1,2,1,1,true,65325,2,2,1,true,false,false,false,true,true
2000,MS,root,4,2,2,true,136150,2,2,1,true,false,false,false,true,true
2000,NC,0,7,4,3,false,118146,1,1,1,false,false,false,false,true,true
2000,NC,1,6,3,3,true,114257,2,2,1,true,false,false,false,true,true
2000,NC,00,4,2,2,true,72899,2,2,1,true,false,false,false,true,true
2000,NC,01,3,1,2,false,45247,1,1,1,false,false,false,false,true,true
2000,NC,10,3,2,1,false,58454,1,1,1,false,false,false,false,true,true
2000,NC,11,3,2,1,false,55803,2,1,1,false,false,false,false,true,true
