state,implementation,metric,benchmark,mean,std,r_hat,ess_pooled,percentile,ci95_low,ci95_high,acceptance_rate
RI,rust,cut_fraction,0.038980509745127435,0.06711319364855686,0.017687484785247457,1.0004940558409199,4289.698328396626,0.0135,0.009333333333333334,0.017666666666666667,0.78975
RI,rust,democratic_seats_2016,2.0,1.9993333333333334,0.025813432119121956,0.9996666110925848,6000.0,0.5003333333333333,0.5003333333333333,0.5003333333333333,0.78975
RI,rust,democratic_seats_2020,2.0,2.0,0.0,1.0,6000.0,0.5,0.5,0.5,0.78975
RI,gerrychain,cut_fraction,0.038980509745127435,0.06694452773613194,0.017790636133256682,1.0000376897175844,6000.0,0.018083333333333333,0.01475,0.020666666666666667,1.0
RI,gerrychain,democratic_seats_2016,2.0,1.9993333333333334,0.025813432119121956,1.0001114015978385,6000.0,0.5003333333333333,0.5,0.5006666666666667,1.0
RI,gerrychain,democratic_seats_2020,2.0,2.0,0.0,1.0,6000.0,0.5,0.5,0.5,1.0
IA,rust,cut_fraction,0.041737649063032366,0.06374368258876105,0.010318043505111469,1.00459287410065,256.83209714907787,0.0033333333333333335,0.002,0.004666666666666667,0.997
IA,rust,democratic_seats_2016,1.0,0.8365,0.5984653513747749,1.0010002289695275,619.5233483943987,0.58175,0.5691666666666667,0.5943333333333334,0.997
IA,rust,democratic_seats_2020,1.0,1.2656666666666667,0.6259551572320228,1.0019375418343108,485.6799114175938,0.36716666666666664,0.35133333333333333,0.38516666666666666,0.997
IA,gerrychain,cut_fraction,0.041737649063032366,0.06011406871095969,0.009800330587575352,1.000533910703045,497.8366648762794,0.008833333333333334,0.004583333333333333,0.011833333333333333,0.997
IA,gerrychain,democratic_seats_2016,1.0,0.8405,0.5925523349980308,1.0026939166585669,1107.0002798168623,0.57975,0.5591666666666667,0.6010833333333333,0.997
IA,gerrychain,democratic_seats_2020,1.0,1.3226666666666667,0.6249943934848831,1.0063801319662062,1071.51240124346,0.33866666666666667,0.3075,0.37216666666666665,0.997
NC,rust,cut_fraction,0.0807386440221054,0.10497969170287251,0.00566243868533398,1.0404309865229469,109.43205670993751,0.0,0.0,0.0,1.0
NC,rust,democratic_seats_2016,7.0,6.486666666666666,0.8949612923704368,1.0226094051464123,69.84146691383647,0.69075,0.6331666666666667,0.7500833333333333,1.0
NC,rust,democratic_seats_2020,5.0,5.944166666666667,0.8932239064460433,1.027543265813779,89.66065658041262,0.17075,0.11558333333333333,0.221,1.0
NC,gerrychain,cut_fraction,0.0807386440221054,0.09793251561306554,0.005939791202730894,1.0070219755362577,87.09029567792122,0.002,0.0,0.004,0.9925
NC,gerrychain,democratic_seats_2016,7.0,6.435,0.8906405223714082,1.0397812812796958,94.44599612069109,0.7078333333333333,0.629,0.7685,0.9925
NC,gerrychain,democratic_seats_2020,5.0,5.811,0.9092580079497989,1.0363875377824245,97.642191865869,0.21158333333333335,0.15,0.2881666666666667,0.9925
