state,status,expected_districts,units,structures_passed
RI,pass,2,250,4
NE,pass,3,553,4
CT,pass,5,883,4
KY,pass,6,1306,4
SC,pass,7,1323,4
WI,pass,8,1542,4
AZ,pass,9,1765,4
CA,pass,52,9129,4
HI,pass,2,461,4
ID,pass,2,456,4
ME,pass,2,407,4
MT,pass,2,319,4
NH,pass,2,350,4
WV,pass,2,546,4
NM,pass,3,612,4
AR,pass,4,823,4
IA,pass,4,896,4
KS,pass,4,829,4
MS,pass,4,878,4
NV,pass,4,779,4
UT,pass,4,716,4
OK,pass,5,1205,4
LA,pass,6,1388,4
OR,pass,6,1001,4
AL,pass,7,1437,4
CO,pass,8,1447,4
MD,pass,8,1475,4
MN,pass,8,1505,4
MO,pass,8,1654,4
IN,pass,9,1696,4
MA,pass,9,1620,4
TN,pass,9,1701,4
WA,pass,10,1784,4
VA,pass,11,2198,4
NJ,pass,12,2181,4
MI,pass,13,3017,4
GA,pass,14,2796,4
NC,pass,14,2672,4
OH,pass,15,3168,4
IL,pass,17,3265,4
PA,pass,17,3446,4
NY,pass,26,5411,4
FL,pass,28,5160,4
TX,pass,38,6896,4
