diagnostic_index,seed_digest_sha256,seed_u64_little_endian,engine_seed,status,exit_code,failure,discovery_sha256,assignment_sha256,assignment_offset,assignment_bytes,matched_blocks,matched_block_rate,max_population_deviation_scaled,total_population_deviation_scaled,weighted_boundary_cut,population_tolerance_pass,benchmark_assignment_reproduction
11,82af78a04677f6505fbac940d044c2f6ef8a88aaf103f205f1f8c8deb9a4ca6e,5833981512528736130,1113955856,accepted,0,,094883e65b1016657bb0dd895e3aad0f18d880293d7b46553da3ad12a0790fd4,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,32070,3207,25649,1.0,1303,2606,243087025,true,true
12,288b7f51add91f03b60e6db1c19c23e4ed057d5ec732ea2d9744b6cf1ab6926e,225137844811696936,1472151170,accepted,0,,ab8885a13016171ad62c9ddf65d7ceacedfd14b982108e4888df565569bf3084,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,35277,3207,25649,1.0,1303,2606,243087025,true,true
13,728e5a09ecec855831e176628ce51e5d913803dce1bf97239d5f87c7a4064cc6,6378764945753542258,979789899,accepted,0,,225e8467cab88ea5771b143d65bc6296e1d4ce5dd2f0f696da9e9e34f20c44b0,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,38484,3207,25649,1.0,1303,2606,243087025,true,true
14,f2fa4d2f27fc3cf12dc3ab145f92f3c38ac68fce439be93ed6e16e055b55f944,17383045906970835698,298316612,accepted,0,,a35957c0c1629aec49ff32c549e9f005670e600eb57668d3c5bf8b2b55acadea,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,41691,3207,25649,1.0,1303,2606,243087025,true,true
15,a0cd8fbc4e4c6c0f99d94343e67dc276af7955ab37f9348f110ba6b84d7cc99f,1111347109108370848,1533568573,accepted,0,,0d1fb56814b617c34fd30809536fe60edcf68abd7ab9a41abeedfcf8889b0af6,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,44898,3207,25649,1.0,1303,2606,243087025,true,true
16,ecbcb87079acf09cdd8e2fc30fd3e6cfded770e78a29f754d12d1894984247fb,11308728301909490924,714741217,accepted,0,,bd454eccc53b723e43da26c4bfa2a23c0c01a1909774efdcefeab19dff66d0bd,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,48105,3207,25649,1.0,1303,2606,243087025,true,true
17,e5ea7aea8c2743ac20871655c0b5e6e01df0d79ab92ce6f3c6ac4f168b0d43ea,12412808484146047717,1124153857,accepted,0,,7b639356fb7e88cc861511ca494932becaa093207b55d13e31558cb41bd8a7b9,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,51312,3207,25649,1.0,1303,2606,243087025,true,true
18,190165bc115af18d145a78722c6ec4d0bce75e63d98fef52d15b77824f279b69,10228055260956786969,1481094462,accepted,0,,b39c8b0507d556f8a0364cc305ac07c30617a8d78298788db38e48287d4eb1ff,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,54519,3207,25649,1.0,1303,2606,243087025,true,true
19,75116cf8c06792cfc57d2457ffd84e14114d5c5d7e96b4468e8def34bdea07d4,14957131390950052213,395370746,accepted,0,,6d6e1cc6dddddc9dce52dc6fec409ec3bbabdb7aaffd2745445f368ea91e1524,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,57726,3207,25649,1.0,1303,2606,243087025,true,true
20,47ce33d1720fc4d5b342bb75e449e59d53999d12dcb9f03c50a992edd0e80381,15403453611324460615,2092690735,accepted,0,,acf9dc78d716b65fc50aaab21964834d57bb78ceb55fcdc2a1ae3e5b832db306,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,60933,3207,25649,1.0,1303,2606,243087025,true,true
21,5bc19aba2a20d622c34b347d2f44ec565188e10cabb1a8919ab211c6cef0b270,2510229210197049691,4653489,accepted,0,,db00ddf285c1b6f10ad440c5f86c2903b94f002e473dafa6540e9242227e1b83,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,64140,3207,25649,1.0,1303,2606,243087025,true,true
22,6608955b6e7dbe97a0e9e10b86e414a81fd7182075e38de48d343d61de93a113,10934314858238511206,185729861,accepted,0,,31d41a59587d7f2a714d5a6413fc97137e8f093e206dd732c1b19eb9a3e5a398,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,67347,3207,25649,1.0,1303,2606,243087025,true,true
23,b6f0a71f438a0d766e2c40ccfa0b21c33af15a7b38ccdf47fdb7344eeeb20ae1,8506607292071276726,197330238,accepted,0,,084acf5e813c6b629c394955075221d4be595e07fc26542be15a95a4d70cee39,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,70554,3207,25649,1.0,1303,2606,243087025,true,true
24,1712153cda1d21c88b8adde66c3add3bbc6e2dd87591a9ed4e267ced745b01c3,14420840304965128727,1280789966,accepted,0,,2d0fcb9a34ab04978d5bb82d2063edead01cc482ce054387673cb19a3bcc9ef6,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,73761,3207,25649,1.0,1303,2606,243087025,true,true
25,eacfb3b4127881cac41b0e7f015e1ef48fda01ef16bbfa15ca5a1a855dc08f22,14592076289393545194,1236713490,accepted,0,,be746043d5dce48f177cd7f770ef52a6817bf7f87269f83d82895e9e2772f92c,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,76968,3207,25649,1.0,1303,2606,243087025,true,true
26,53850b28c95e65dbe29dc7faec7db9b4c366f621ad3b31e7e95f93bc9bc0e441,15809146285007275347,1591100136,accepted,0,,9dbf15e7ff6df8003b8f97f7a80540e118f41bda0c332bd5cbd62a7e06a467f6,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,80175,3207,25649,1.0,1303,2606,243087025,true,true
27,396b901220611c93e2e025d87d6b9a68eb57d2a31dbb8473213a1c8465aeacb4,10600454413301607225,952708475,accepted,0,,3aa04f709535422ebb1aa997e99ff88b95b07005c489879ce927bd5d61141872,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,83382,3207,25649,1.0,1303,2606,243087025,true,true
28,564455f9fbf9afd7e4a2fbfba7f727d24f86f6e53b0ad16e51b757a71c588477,15541915699694093398,682965073,accepted,0,,6e1c3009a12757539d16486568d51be81cbd100477dfb0252eccf84d86474558,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,86589,3207,25649,1.0,1303,2606,243087025,true,true
29,8daff05996f09bde8a9e5f9d190d9d803839489484192ff7e226f830111e27e3,16040679026354859917,388534461,accepted,0,,ab7323f173688dd07a9a5db9644b18f5edc671ed3fbc56ea3a974f93d532cd1a,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,89796,3207,25649,1.0,1303,2606,243087025,true,true
30,7866ca38e0be232a1074484926f0d10874286ee2646383f2f784320565a2a95f,3036480444012586616,219276345,accepted,0,,59bdeb27030b6f6fd1ce181bf62aaad74ef04b4e5c70b05802dda59339119045,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,93003,3207,25649,1.0,1303,2606,243087025,true,true
31,22264d855297a2247dcc323f5ef982a48d04c1d520c344b7f93dae393bcedae7,2639838712272070178,1318212807,accepted,0,,1793ab98cd2e836b584e0cea49fb5f06599e41932a0119a9d1789dbe63257507,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,96210,3207,25649,1.0,1303,2606,243087025,true,true
32,07223d0ccb836416e8da4e17959f0d6ceced76402835aeeb02953b3a9826e39a,1613559474612412935,956705181,accepted,0,,cee5f69c750ac8f884c31c57567c59e1c89dc7bc2988b839aa79d1edc7c39ff9,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,99417,3207,25649,1.0,1303,2606,243087025,true,true
33,011c91b40a511b884ab5453f6b6651ae2da7e9c7c61aa41d7b9a227a928494a8,9807521719950318593,1153941016,accepted,0,,b53cba6d2c858b77b6ca036d2420ea85bb6dcf89ad635b0f47478eb1d7a3eb11,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,102624,3207,25649,1.0,1303,2606,243087025,true,true
34,c1745df06044103b6b95ee6f28ee8f53c92d20c71e8aad61ffb9950e1431a692,4255976831005324481,1719532931,accepted,0,,a3cef63d630e4d8fd826248ce8ab2c7dad4ca38093cc02b2a964c6776d382734,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,105831,3207,25649,1.0,1303,2606,243087025,true,true
35,512da44a67ca6a4591fc5f00bf06ca0a93e9446c591bee0449c8e8512beb7320,5002032881131072849,1434042912,accepted,0,,f7ed4a4c8899c2b3d1e607e6e28d1f3153b68524330c20f2c3ade1c5da35e1fa,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,109038,3207,25649,1.0,1303,2606,243087025,true,true
36,6e0dd4cc6e28ab80054a9595f89e9d08534f8e076717665bfc0f4d3b582c9a8e,9271548714220260718,1311399501,accepted,0,,c319ec48ace83c52fe4d1eea8adcb3a8d526d3c8337fb6259dcdf56f2764d1eb,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,112245,3207,25649,1.0,1303,2606,243087025,true,true
37,9f255d9078fb1d1045d60e28819988287415a4b10c7e788c6189fdf142ace151,1161360774168126879,815340688,accepted,0,,dd99b6dba92e7af95c3a74bfebf1dac255da439b9025854d9781a2ae105df4d1,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,115452,3207,25649,1.0,1303,2606,243087025,true,true
38,1d3ee114bb31d47064cd10062400ca51e5a90738a72079ebe2777dffa647728e,8130177906889539101,1988731284,accepted,0,,669f4e9790a2b60a232019d633d77af9e9426952ce1804755cebc62b2f407517,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,118659,3207,25649,1.0,1303,2606,243087025,true,true
39,700d2ad8cafe27c5d73048feb8857bc33a30a63cf4767b94f4b8de1853ff1f8d,14206603696727002480,1652165384,accepted,0,,4fd8f0df9c9c0ce9e1b3ca94cc71788be3ae8a77e55a3014570e22d602a2c730,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,121866,3207,25649,1.0,1303,2606,243087025,true,true
40,1ee27906d65c1b298d58f79e27a18a00ecf81af318ce7559f2bb038afec72841,2962063254227640862,1487969226,accepted,0,,2c0ee7b56eb7264c6b96d445b8dc72e5b9ecc4bca8a6ba6e8c286f994307babc,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,125073,3207,25649,1.0,1303,2606,243087025,true,true
41,b18fae9fd0a82933ab08b33bb33d818312f17ddfb75fa15e5cdb9125a140c8eb,3686663383965142961,100786515,accepted,0,,b0777f10d08a9d39d18a1076f07bea5e5de782cee44046506fc3b49b048da76a,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,128280,3207,25649,1.0,1303,2606,243087025,true,true
42,95480ef35bde0222a14461cff7fc54bb4af80a01cd92d0d9698ea37569d74316,2450765633744160917,924058957,accepted,0,,538c6e5be88fd1e2461749138767782a7a0dfbc47ff214810a75febcc7bb9923,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,131487,3207,25649,1.0,1303,2606,243087025,true,true
43,5ce95018b3b9ff1b4902bde4e56809987c1cefd95978a939213b6755a9148619,2017535336943511900,1347443906,accepted,0,,5a9fa93220c67b83ff2fc50866999773025e22d8d22d239afe068c7fa894ba2c,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,134694,3207,25649,1.0,1303,2606,243087025,true,true
44,58a31586099a58c5732f64905607ea4b19e241ff8fe2c5b3326acacf35620cf0,14220285189117289304,281466734,accepted,0,,8f50fbad5387483bc512b78b992951c88902c35c14be88c815ebdd665b3ec14b,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,137901,3207,25649,1.0,1303,2606,243087025,true,true
45,9c80b217c38ebdbc3bd1ee3a99e5350320a9e7efa419204b7cfa7b708d134cd1,13600183418296107164,288202277,accepted,0,,045f3f7a0672a93e280c36f66e87ec3eb74b2390dc9630e792358f865ca26734,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,141108,3207,25649,1.0,1303,2606,243087025,true,true
46,8a2d390fcce18bbfcb3f666759a5a22e1afb284086c24387798774c754f74dbf,13802373749552000394,240185637,accepted,0,,db8dd1e3cefecfbc3d036857ba4ff71b8e1a33ae8cb948864335c689e05229fe,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,144315,3207,25649,1.0,1303,2606,243087025,true,true
47,813a13f0da986277c1e53ae4230e06f3ffaeb2d2a891a7d72ce46a94c7695dd4,8602606304329153153,1591241784,accepted,0,,4f1eb1d12bf2d20b10c0a25cd9fc6c8859b5200d9b38e5dbd0b979d7268a2f5f,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,147522,3207,25649,1.0,1303,2606,243087025,true,true
48,a32423dd8253afd48ee4454a92513c80c57a36e363428f921f2bab23a22c7ce1,15325559878486008995,109169580,accepted,0,,3995319941165349508d44f3d4295d6ada0e5092d05cba6f66b8023d41863115,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,150729,3207,25649,1.0,1303,2606,243087025,true,true
49,be7f09a0dfebbb6b917b82efd561f6fe05a49747a6e7108d4b8d1d0c414e83d4,7763057728398393278,2004965246,accepted,0,,074d4187e5f4bc4852bdac068ce42c112a377d87da62382c8dfd269771a29bf6,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,153936,3207,25649,1.0,1303,2606,243087025,true,true
50,334ce51e81cc889949603d77bdd0e4e4fb2df7881c6ee53d5c1923e4f601419a,11063317339576814643,1375135031,accepted,0,,2294f8fc9068e1d44b4f43a79bc3551c2e575e1553278dc2a78cd2fcfce299e6,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,157143,3207,25649,1.0,1303,2606,243087025,true,true
51,8f7b624aa4e96f4730d42b4dd0da91d59cf80dbc52921bb91a9eee9dfd38c689,5147589790939642767,1497517784,accepted,0,,b26abbdd33185cb623d7916e87da95a537c8f92e87114c49f6cce4580b2e59c4,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,160350,3207,25649,1.0,1303,2606,243087025,true,true
52,9ea46944fdb4688a4f6d549927e39a8f2ac45fcba795eb2bbc8d03baf9d9e187,9973420374679463070,1497042586,accepted,0,,a7b13e44c91c18fbe5fd84dcc51e7da1a72afcdc0dd16a124eb71e1d2f79a9f2,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,163557,3207,25649,1.0,1303,2606,243087025,true,true
53,a325d3a4d68459d2f888406f238807ebf1bc9688d1f43da9c217f03c400bbcd0,15157292078315283875,1233530707,accepted,0,,9d3a7690808eef68f15d7f0c1f57b34f6ee955d5a796169176a99f26b0344cbb,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,166764,3207,25649,1.0,1303,2606,243087025,true,true
54,48f5b6c4d4276cc4e46d78f54392ef813dfc4ce582a80c50cc676e94c9db4e0e,14153731523705501000,1301234932,accepted,0,,d24de0a1226bedb3b760d59c758336eba547b5b4b35bab03b2a1dc6591d67cbd,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,169971,3207,25649,1.0,1303,2606,243087025,true,true
55,dccbe8dc61d8a3ef2726032a4e76a957e817c3101ce3aa182ce315b98885076f,17267883311098285020,1009810595,accepted,0,,aef9719c218541e96ad6b0bbb74ff04a0136388d3674c43000751df6d29c15f7,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,173178,3207,25649,1.0,1303,2606,243087025,true,true
56,5e908454a4721dd2850febc14558e9aa67bb6c58bd7eaf71632b6be8ad7e1df9,15140383572407652446,2025813417,accepted,0,,8ba8d3e98932f5ee6b79efe4f7194965bbe8fe7eb931da351fcb253652c01284,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,176385,3207,25649,1.0,1303,2606,243087025,true,true
57,9f94943d733fb1c23d7e400fa97bc4f738dc610d952fe8efdf9cdcf53be2b891,14029064078422742175,1123488648,accepted,0,,2c0053ba0e17d4d289100db486638174005990633834ebb1048bec8828320626,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,179592,3207,25649,1.0,1303,2606,243087025,true,true
58,4b4c5388c12cd3a20b4559f4434e056c89b0b09b2ccc03d76a06166144d06261,11732770663957744715,1308206544,accepted,0,,cd11171d1d318fbb81a53343b0f81f3fc4ce02a12d14da1d8f3ee9fbfe76ca43,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,182799,3207,25649,1.0,1303,2606,243087025,true,true
59,3cab9bfc0243cb7430ad9eff22d0ab9cd5557a558a87ce638d72724d8ae5c2e3,8415894008778959676,1714565443,accepted,0,,9af4ea2516ded7e250d6989d15ce794ea980055e63067341c1697ede7cc0e27c,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,186006,3207,25649,1.0,1303,2606,243087025,true,true
60,719dbb6c0ebb6781708ce2bf281edae87af3b3d3c8f3f6fb772b52660aa1a098,9324627224122072433,1871385487,accepted,0,,ff85418f6550053c66a7a72f06e54eb2c0b612b5806e08f20fbb9d7d1e1b1cf6,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,189213,3207,25649,1.0,1303,2606,243087025,true,true
61,ea52e09ffafb7ba765a17c971cc0330b12a3142ac13fc0baac4275ff079336ee,12068516680312050410,1859668705,accepted,0,,e3376e722b60e8857c9db62274c1ce993665ce38fc339fba1435f3872a5dd264,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,192420,3207,25649,1.0,1303,2606,243087025,true,true
62,3555da6d6172651b866657dade55cde62a8433e3cc84de0a2171f7ff8cdd9d02,1974109774452249909,614808056,accepted,0,,9fcb67241e7dd3ae6e52dc7ccbb3b6d78e4e344ac07eb2ed7aa069b8974d55ec,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,195627,3207,25649,1.0,1303,2606,243087025,true,true
63,30d8031d7a678bcc384b526fec74525b0c27712500df1a4adf0b4e6b28eb7c38,14738987979670542384,907716391,accepted,0,,1afa6fdefb312435400035a10d630cccac1b3de837e6ee9e5190fa9d9722dfce,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,198834,3207,25649,1.0,1303,2606,243087025,true,true
64,0148f5eb22db02d7bfd7dc4272372c0b3fa2afcef4464a603719ee0ced2ac4bf,15493186611142019073,435879498,accepted,0,,0c6e5054a8563c3b198a0f9337e0749c41b8a956bae83c54f88e0742dda70310,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,202041,3207,25649,1.0,1303,2606,243087025,true,true
65,3d87e1e30e8750983ffa60fc0cce4d7213b3048c0dfb6c12170b08f71080e368,10975420789924398909,344102237,accepted,0,,d0fe00318bc7ff953ead84a1bcade564be8fcef23254f6ff18cec3e301c87ab2,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,205248,3207,25649,1.0,1303,2606,243087025,true,true
66,75bd8951af2b6222599c4ed0fd67d3cabd3b320b55983404c9cd9f2087531dc6,2477590776994446709,374215892,accepted,0,,43ec69e9a74d5afc45a5d2e3d86bf12ff7b64cc5efac4f6e0816c57cb6e18bcc,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,208455,3207,25649,1.0,1303,2606,243087025,true,true
67,6ec971435a0eeb6a29ee8f851deda51d726ce0e2ac7e4aea2b369b07de7d2d4a,7704267368388741486,424142372,accepted,0,,4e6af8e71992a761fc8b99ae199e47d0091b99c91a245ab9eca85f333269c97c,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,211662,3207,25649,1.0,1303,2606,243087025,true,true
68,9f89b0871746ad09ea8c5fbfd2ba148fc0b1fd36c7d482b7b8b03490ec89b4c4,697290584186980767,453711310,accepted,0,,8007cbb6aa10150c3bb5045bee616028da87da49589a890d0b259bbe459a5ef1,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,214869,3207,25649,1.0,1303,2606,243087025,true,true
69,21926aa7cfc3d8cb2ea7bac3e69783cc801044b1d695f576be579379af84d603,14688705481303298593,1058806211,accepted,0,,9859cb378db8a2859651aedb8df28bb9e35ecbd070d13dcfab6031a50cb89e11,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,218076,3207,25649,1.0,1303,2606,243087025,true,true
70,dd8febb6686e1493d4ec2975d87ca6f129810fb7f16c1617372e3a724a60f087,10598217219134164957,1561619632,accepted,0,,db11471a8169d6d8d5b0aa9a86c767afd9362298e9136becd39ce1cf2e084513,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,221283,3207,25649,1.0,1303,2606,243087025,true,true
71,0dafd87ce24d8f6bb1ad1756495dad9ca1ccde23e5c0693a1f7c5a4240375da0,7750499118880435981,1408715475,accepted,0,,7331ac6dd88325c6992259bcadd17c0fa9cc64c63e23e6e28efe4fa899e22c29,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,224490,3207,25649,1.0,1303,2606,243087025,true,true
72,f1d695239704e339094eaff8aba2bd932269c9fe1edca9738611cf5da688375a,4171182727058806513,391897120,accepted,0,,b648d5f7f4d6ad7d80bcd51532c8aa3ef36e8c5daa0c93c7e0e55aa94976f0ec,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,227697,3207,25649,1.0,1303,2606,243087025,true,true
73,f522c6799b762a2fe33e0b5c38478e7dd9c379d2f43555ec3665d18bc29fccd0,3398659278939497205,1478168620,accepted,0,,c902848c93f0a85b1d7745e2b96d19ec8152039fd7bd18aa0da5d091752f8260,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,230904,3207,25649,1.0,1303,2606,243087025,true,true
74,fc48f1962ce9a52af72beea5062cdf3183e1efb719f7aac4e1409236666a049e,3073118698470459644,1815944021,accepted,0,,30a874527f5341e720ff0edfe906662cc959621120a962dd6f3b4a753e83ac09,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,234111,3207,25649,1.0,1303,2606,243087025,true,true
75,a685ee5ed1c62677827d4f3484db81eebbea012b0c0c543329d815c54ace1ea0,8585768342171583910,1295782730,accepted,0,,5cbac60b9216a0bf8e95bfcf6f06abdb34d6be2692189a7536ef8d93a82a43d3,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,237318,3207,25649,1.0,1303,2606,243087025,true,true
76,66917f08db772bc6884a4f6bcb41f2e8ba876f047d93e21dc93f68b1ebe49c19,14279638826132410726,349602079,accepted,0,,4026a4cdbaa8c351344a2a3c854072dcbef5adb62efe0b55d2e4c33a3949cffb,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,240525,3207,25649,1.0,1303,2606,243087025,true,true
77,c35dfba59a181e41d64fc31319f0f967603712bf5727c45b972654315c839cc0,4692214914255379907,674729721,accepted,0,,31c6de0e5442298c8775f76ced3086220e5c6509ee176d8724f9051d136a5a22,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,243732,3207,25649,1.0,1303,2606,243087025,true,true
78,19c274db91d9284866267e40d94d3bc72eac8c91f516e49c0295ac38185497bc,5199644990274585113,1808168253,accepted,0,,b50e9dcf433e0713082280f6ab9ed29f0494337b525a8b4a2d6cc57479430d2d,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,246939,3207,25649,1.0,1303,2606,243087025,true,true
