diagnostic_index,seed_digest_sha256,seed_u64_little_endian,engine_seed,status,exit_code,failure,discovery_sha256,assignment_sha256,assignment_offset,assignment_bytes,matched_blocks,matched_block_rate,max_population_deviation_scaled,total_population_deviation_scaled,weighted_boundary_cut,population_tolerance_pass,benchmark_assignment_reproduction
1,4849894e58c3f904fd8e032b73169b4bfa9c596d9d7404c329b4fe35558acd8e,358532429394823496,1484574712,accepted,0,,92233f742cba634e123f7d5de5e1d8ce022c2530551a383d95030ce7ef2be392,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,0,3207,25649,1.0,1303,2606,243087025,true,true
2,455b6f12aed6e459c0184b3353eb8b75c5f9fb385124df3465828cc68da3fdf2,6477538207187557189,1178142882,accepted,0,,1b388eeb70986d9d490945b93cdc274f5e329cb3c9a93ed0d229220572006d59,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,3207,3207,25649,1.0,1303,2606,243087025,true,true
3,0583e42564b37621d7d4d7699962c31c91a8ed75f2f0d644f7b067945424ff7f,2411311893217313541,1758587341,accepted,0,,55b3c9a760a8bd2bfea4e651b78715e77560baae0f10dae1405408b931f4a1f7,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,6414,3207,25649,1.0,1303,2606,243087025,true,true
4,607f301e1442977b0e9134b307ea8700b260319947a5c17cb3d0d42ad0b7fe7f,8905659442321719136,358548362,accepted,0,,f3fd6f41e5ca1db298cf0de75646202ee809d17d5382cbb2adde79c97e4d2d4f,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,9621,3207,25649,1.0,1303,2606,243087025,true,true
5,ca59f8cedbd63d537eef38c7bb66c6418f819b35ee5535cc4d886f30b6161f36,5998186518285933002,1970538370,accepted,0,,f2a65bdcad0dd8ea0c00c2939a6fb14cdc07b5a78bf9b7dd47d29cfb2951380e,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,12828,3207,25649,1.0,1303,2606,243087025,true,true
6,98dc2685fb3d32da7b78edfba09f16d0dfe655376eb29346b0838752664e2aee,15722697399583825048,965433490,accepted,0,,06f0e7bb8e17d05606dc463b6b5600706feb3e42276cbbd0af05e8079353d320,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,16035,3207,25649,1.0,1303,2606,243087025,true,true
7,8247ddf53148060c6008ebf17363ae9d06442730ccd8f0f00e0cb7b56969bd22,866459357730916226,233428966,accepted,0,,89b53e026b595dc9bdd4fdb3fcc178036aa6643af86fee014d57bb9074b9da62,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,19242,3207,25649,1.0,1303,2606,243087025,true,true
8,bd9710d747a7d69b42b8542b11cacbf71a95b6393ab962b340ac9a47aaca0ee1,11229346647887615933,247326287,accepted,0,,8d4a1a7732cdea85080e1dd26a2e5373b21144cf2fdb6bb22282a44a7e00e50d,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,22449,3207,25649,1.0,1303,2606,243087025,true,true
9,ec1fcc3424c1bfaca083f5654713298c8500010e9b496411c64f13a179c79255,12447880256324116460,239837751,accepted,0,,58232c5295d5ddeeaf49c136926f516d2322f8713787a18084ba8856d6deeeab,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,25656,3207,25649,1.0,1303,2606,243087025,true,true
10,95c178316a3943773685d8df8b8c695e0c554e0776147e03ee5683415e4f4414,8593775642212352405,536818795,accepted,0,,ff8e7724bc64639c875844744a0cfaabbd19464ebadccc301c27b3a676e4f528,c90463a5154f90c2e41a4bf18737abb06737d8eac3651fb974968eaab442e807,28863,3207,25649,1.0,1303,2606,243087025,true,true
