state,districts,child_seats_left,child_seats_right,equal_child_seats,unit_count,benchmark_seed,status,failure,minimum_deviation_candidates,minimum_deviation_cut_candidates,minimum_deviation_cut_partitions,orientation_only_tie,physical_cut_opportunity,assignment_match,objective_match,governed_assignment_sha256,instrumented_assignment_sha256
NY,26,13,13,true,288819,591379216,accepted,,2,2,1,true,false,true,true,5827a2eeb7e3d597aafd5bbc4ca105b75962c0dd7b86a29eaaabd1cd6197946f,5827a2eeb7e3d597aafd5bbc4ca105b75962c0dd7b86a29eaaabd1cd6197946f
OH,15,7,8,false,276428,378241564,accepted,,1,1,1,false,false,true,true,6a0ce97d4b8b800644244d5e1d903bb3479c2bf872f35fd9331d3051050e7933,6a0ce97d4b8b800644244d5e1d903bb3479c2bf872f35fd9331d3051050e7933
OK,5,2,3,false,180154,1929464259,accepted,,2,1,1,false,false,true,true,fd5940194dd27f06b6690773f87331486df41d81c83276f6ce0f1c525ae0f92a,fd5940194dd27f06b6690773f87331486df41d81c83276f6ce0f1c525ae0f92a
OR,6,3,3,true,130807,2129389151,accepted,,2,2,1,true,false,true,true,f16fee1c30477cc02850d7cb548fe7d5224b115f871341bda4cbdbbbdb621afa,f16fee1c30477cc02850d7cb548fe7d5224b115f871341bda4cbdbbbdb621afa
PA,17,9,8,false,336985,470550377,accepted,,1,1,1,false,false,true,true,00b9daa2c74cd2339318e781f55db13edfee5262ad0deeeb6dc1e60009e2ff3f,00b9daa2c74cd2339318e781f55db13edfee5262ad0deeeb6dc1e60009e2ff3f
RI,2,1,1,true,25649,1983447153,accepted,,4,2,1,true,false,true,true,c1da70925ab505ad88d58701d49d1004edc5efcd38d70f9e589d180492088640,c1da70925ab505ad88d58701d49d1004edc5efcd38d70f9e589d180492088640
SC,7,4,3,false,146844,1975436248,accepted,,1,1,1,false,false,true,true,535d244f7a9f6b48581b5d73bbaf681b99aac1c582af546a058b02d3cdeb4553,535d244f7a9f6b48581b5d73bbaf681b99aac1c582af546a058b02d3cdeb4553
TN,9,5,4,false,179717,1346701120,accepted,,1,1,1,false,false,true,true,04d3e437bef82d07849f8366ec08ba187eeae5f12a2b9d5093a97402ebce9e7c,04d3e437bef82d07849f8366ec08ba187eeae5f12a2b9d5093a97402ebce9e7c
TX,38,19,19,true,668757,733787182,accepted,,2,2,1,true,false,true,true,963d31cd172fea77520a727473dfef833a0814d77ec60e35fafc98bf9a444294,963d31cd172fea77520a727473dfef833a0814d77ec60e35fafc98bf9a444294
UT,4,2,2,true,71207,1452669607,accepted,,2,2,1,true,false,true,true,e99167886ec406df84e092da76cf57a4a98aa870bf3723f5fc42672e8377a717,e99167886ec406df84e092da76cf57a4a98aa870bf3723f5fc42672e8377a717
VA,11,5,6,false,163491,1755837082,accepted,,3,1,1,false,false,true,true,c2c7c602805362720815fa5560f42da7a3301733d4d7b0f7d7cdd9263f687593,c2c7c602805362720815fa5560f42da7a3301733d4d7b0f7d7cdd9263f687593
WA,10,5,5,true,158093,1143689728,accepted,,2,2,1,true,false,true,true,726bc7431d986e10fbf16354e3584e1503da96eb64bf2566b9e15c63f7ca9c0d,726bc7431d986e10fbf16354e3584e1503da96eb64bf2566b9e15c63f7ca9c0d
WI,8,4,4,true,203059,1002944906,accepted,,2,2,1,true,false,true,true,73421e0215da4561e1114fc1a8baedff39d671ac24eb702046b5e872b1b3dbfe,73421e0215da4561e1114fc1a8baedff39d671ac24eb702046b5e872b1b3dbfe
WV,2,1,1,true,72558,1979592460,accepted,,2,2,1,true,false,true,true,200299adc9856f5131b57ee5107577558b21ed41cc106ee59e48bcf31a1c0322,200299adc9856f5131b57ee5107577558b21ed41cc106ee59e48bcf31a1c0322
