state,districts,child_seats_left,child_seats_right,equal_child_seats,unit_count,benchmark_seed,status,failure,minimum_deviation_candidates,minimum_deviation_cut_candidates,minimum_deviation_cut_partitions,orientation_only_tie,physical_cut_opportunity,assignment_match,objective_match,governed_assignment_sha256,instrumented_assignment_sha256
AL,7,4,3,false,185976,1245411907,accepted,,1,1,1,false,false,true,true,588836b74177f66c21b2b4aa672c763a64733275baeff51db433dcd4a822a4fb,588836b74177f66c21b2b4aa672c763a64733275baeff51db433dcd4a822a4fb
AR,4,2,2,true,136422,986472138,accepted,,2,2,1,true,false,true,true,46f7de855503abbd37559c7e2bb7065a221b1196b7fc1f55a17bacd399a33ae2,46f7de855503abbd37559c7e2bb7065a221b1196b7fc1f55a17bacd399a33ae2
AZ,9,4,5,false,155444,630335712,accepted,,1,1,1,false,false,true,true,c0c8d04c07a28c8fb498bdecf8e29955cb1a972234d0f9f65c91b0fa12b531dc,c0c8d04c07a28c8fb498bdecf8e29955cb1a972234d0f9f65c91b0fa12b531dc
CA,52,26,26,true,519723,530580877,accepted,,2,2,1,true,false,true,true,e09e64f581a787177df7e50f458be8f4d3261982d33cf7fc22e41290ccb7c393,e09e64f581a787177df7e50f458be8f4d3261982d33cf7fc22e41290ccb7c393
CO,8,4,4,true,140345,68704204,accepted,,2,2,1,true,false,true,true,fa1f4d3b5d8f0a84358b75029ecf02becabaeae6dfb750fea0ec5a1cbd32b60b,fa1f4d3b5d8f0a84358b75029ecf02becabaeae6dfb750fea0ec5a1cbd32b60b
CT,5,2,3,false,49926,1184001889,accepted,,1,1,1,false,false,true,true,fc68ba6353289d33c9a7bb2b89fba849873d2b817e90584ece98a5204e6cd541,fc68ba6353289d33c9a7bb2b89fba849873d2b817e90584ece98a5204e6cd541
FL,28,14,14,true,390066,481886624,accepted,,2,2,1,true,false,true,true,c665f12c3b06323a36b4020011e28820d6e2883b8b26b197d6e06080589cc8d1,c665f12c3b06323a36b4020011e28820d6e2883b8b26b197d6e06080589cc8d1
GA,14,7,7,true,232717,1570084764,accepted,,2,2,1,true,false,true,true,b825b85a44c5c92dde969782a205bbf3c6a5c608a438304fce7054936f74715b,b825b85a44c5c92dde969782a205bbf3c6a5c608a438304fce7054936f74715b
HI,2,1,1,true,14732,1140230542,accepted,,4,2,1,true,false,true,true,dfafe1e7131930760867dee58b8e384ef0cc44fd57aa182816994aef30d04a4a,dfafe1e7131930760867dee58b8e384ef0cc44fd57aa182816994aef30d04a4a
IA,4,2,2,true,175199,1761054437,accepted,,4,2,1,true,false,true,true,38f7997ec8df178b7c621f7bc025327b241aad46330959b0e7f84a70fa9f6077,38f7997ec8df178b7c621f7bc025327b241aad46330959b0e7f84a70fa9f6077
ID,2,1,1,true,81879,2104119704,accepted,,2,2,1,true,false,true,true,b0fa4afc33cfc954283a18504ac9a3332ed3cf8cdc53ff42a3f75bc3687203d4,b0fa4afc33cfc954283a18504ac9a3332ed3cf8cdc53ff42a3f75bc3687203d4
IL,17,8,9,false,369978,1967858314,accepted,,1,1,1,false,false,true,true,7d27324b811d5569bf449dbec44d457d847dada4ac7f576afaed9a5060825315,7d27324b811d5569bf449dbec44d457d847dada4ac7f576afaed9a5060825315
IN,9,5,4,false,204568,1867055104,accepted,,1,1,1,false,false,true,true,910b21ec9e676b5a7911c0f66fc2faec140d8136bab67daa5da289883e64d23c,910b21ec9e676b5a7911c0f66fc2faec140d8136bab67daa5da289883e64d23c
KS,4,2,2,true,172529,1896238958,accepted,,2,2,1,true,false,true,true,1d46b30cd085c5847e482749a57b86b2476a728599d595971b423992988df718,1d46b30cd085c5847e482749a57b86b2476a728599d595971b423992988df718
KY,6,3,3,true,132662,1403040924,accepted,,4,2,1,true,false,true,true,d66ba2885c9006ba543a0a915ea7484848acdf6e624c3aac390ce56fe1cee34d,d66ba2885c9006ba543a0a915ea7484848acdf6e624c3aac390ce56fe1cee34d
LA,6,3,3,true,142874,898166797,accepted,,2,2,1,true,false,true,true,39e385cffa3b7bce0792ffcef03ba928146798a748e41aeb42d6a6bb54fc8b6c,39e385cffa3b7bce0792ffcef03ba928146798a748e41aeb42d6a6bb54fc8b6c
MA,9,5,4,false,107278,264828259,accepted,,3,1,1,false,false,true,true,07a97e2d1a16334d83dec88c16dda6a4236034f13b91b47ae018b7062d4c5211,07a97e2d1a16334d83dec88c16dda6a4236034f13b91b47ae018b7062d4c5211
MD,8,4,4,true,83827,2118239800,accepted,,4,2,1,true,false,true,true,71f88ec00252c494228f87a01d6590f40a31c2edde8fcf53d1df454bb1be17e5,71f88ec00252c494228f87a01d6590f40a31c2edde8fcf53d1df454bb1be17e5
ME,2,1,1,true,47138,2042346422,accepted,,2,2,1,true,false,true,true,5d92b8b8a1f7f0b9d78636aafc3bee2659db2c94c03dbcb952059e59e889cbe5,5d92b8b8a1f7f0b9d78636aafc3bee2659db2c94c03dbcb952059e59e889cbe5
MI,13,6,7,false,254730,1847978398,accepted,,1,1,1,false,false,true,true,73d9ea30e67665a1ef475c39f3ae484f5cf3c61b2a13701601e79d2bcb5319b6,73d9ea30e67665a1ef475c39f3ae484f5cf3c61b2a13701601e79d2bcb5319b6
MN,8,4,4,true,198705,1309774783,accepted,,2,2,1,true,false,true,true,c6910fff9a377dca05e9ef40f17d568c87c396b987e66297b39fb0ec98e23d6a,c6910fff9a377dca05e9ef40f17d568c87c396b987e66297b39fb0ec98e23d6a
MO,8,4,4,true,253632,116145412,accepted,,2,2,1,true,false,true,true,834573dbaaf9a05239ffbf0f4e265ce898900a4077fca7aeeeb03e64107204c4,834573dbaaf9a05239ffbf0f4e265ce898900a4077fca7aeeeb03e64107204c4
MS,4,2,2,true,112241,129219073,accepted,,2,2,1,true,false,true,true,9a871268e7fb532b8d21b531b17556ae8a0fb7196f5fa2618433443720b8685c,9a871268e7fb532b8d21b531b17556ae8a0fb7196f5fa2618433443720b8685c
MT,2,1,1,true,88417,89104402,accepted,,2,2,1,true,false,true,true,6f396dfcbff4634cc0608f64b7a5bd7d2260c2546084688c0408b59928ffa79a,6f396dfcbff4634cc0608f64b7a5bd7d2260c2546084688c0408b59928ffa79a
NC,14,7,7,true,236638,2028471700,accepted,,2,2,1,true,false,true,true,367d60ae3479cd27f7afa6333b458b08e8f4be6e5a407fb9e5c01b6daee8bdce,367d60ae3479cd27f7afa6333b458b08e8f4be6e5a407fb9e5c01b6daee8bdce
NE,3,1,2,false,119103,1995171174,accepted,,1,1,1,false,false,true,true,b90d64ac13ad0da148596217d4215ce42680b5c1cfd34549277427debf6ddec8,b90d64ac13ad0da148596217d4215ce42680b5c1cfd34549277427debf6ddec8
NH,2,1,1,true,31948,828041789,accepted,,2,2,1,true,false,true,true,0dd1878fdb1eb8a00bcb217218fac14ace8160b0e6c35195ff0c78123c2a4f05,0dd1878fdb1eb8a00bcb217218fac14ace8160b0e6c35195ff0c78123c2a4f05
NJ,12,6,6,true,137972,1446074189,accepted,,4,2,1,true,false,true,true,15c35b7f8c8a200baa36e6543b22364082cd564633af593a38e364a32d909866,15c35b7f8c8a200baa36e6543b22364082cd564633af593a38e364a32d909866
NM,3,1,2,false,107215,1922790591,accepted,,10,1,1,false,false,true,true,28cf1addf4e9c856a6d99722c1a0ca30856fc1e3cf6309d5c37b51891bc366ff,28cf1addf4e9c856a6d99722c1a0ca30856fc1e3cf6309d5c37b51891bc366ff
NV,4,2,2,true,57409,227104631,accepted,,2,2,1,true,false,true,true,7baa4c23ab526f3b439b9801109ac7e2dc1004197b7c19d25a41a0633e49f2b8,7baa4c23ab526f3b439b9801109ac7e2dc1004197b7c19d25a41a0633e49f2b8
