state,path,seats,child_seats_left,child_seats_right,equal_child_seats,unit_count,minimum_deviation_candidates,minimum_deviation_cut_candidates,minimum_deviation_cut_partitions,orientation_only_tie,physical_cut_opportunity,nrs_v0_2_fallback_activated,nrs_v0_3_fallback_activated,assignment_match,objective_match
AL,0,4,2,2,true,106586,4,2,1,true,false,false,false,true,true
AL,1,3,2,1,false,79390,2,1,1,false,false,false,false,true,true
AL,00,2,1,1,true,53867,2,2,1,true,false,false,false,true,true
AL,01,2,1,1,true,52719,4,2,1,true,false,false,false,true,true
AL,10,2,1,1,true,57644,2,2,1,true,false,false,false,true,true
AL,root,7,4,3,false,185976,1,1,1,false,false,false,false,true,true
AR,0,2,1,1,true,63044,2,2,1,true,false,false,false,true,true
AR,1,2,1,1,true,73378,2,2,1,true,false,false,false,true,true
AR,root,4,2,2,true,136422,2,2,1,true,false,false,false,true,true
AZ,0,4,2,2,true,81658,2,2,1,true,false,false,false,true,true
AZ,1,5,2,3,false,73786,1,1,1,false,false,false,false,true,true
AZ,00,2,1,1,true,62969,4,2,1,true,false,false,false,true,true
AZ,01,2,1,1,true,18689,2,2,1,true,false,false,false,true,true
AZ,10,2,1,1,true,24307,2,2,1,true,false,false,false,true,true
AZ,11,3,1,2,false,49479,1,1,1,false,false,false,false,true,true
AZ,111,2,1,1,true,37958,2,2,1,true,false,false,false,true,true
AZ,root,9,4,5,false,155444,1,1,1,false,false,false,false,true,true
CA,0,26,13,13,true,334410,4,2,1,true,false,false,false,true,true
CA,1,26,13,13,true,185313,2,2,1,true,false,false,false,true,true
CA,00,13,7,6,false,151483,1,1,1,false,false,false,false,true,true
CA,01,13,6,7,false,182927,1,1,1,false,false,false,false,true,true
CA,10,13,7,6,false,94345,1,1,1,false,false,false,false,true,true
CA,11,13,7,6,false,90968,2,1,1,false,false,false,false,true,true
CA,000,7,3,4,false,110465,1,1,1,false,false,false,false,true,true
CA,001,6,3,3,true,41018,2,2,1,true,false,false,false,true,true
CA,010,6,3,3,true,78415,2,2,1,true,false,false,false,true,true
