state,path,seats,child_seats_left,child_seats_right,equal_child_seats,unit_count,minimum_deviation_candidates,minimum_deviation_cut_candidates,minimum_deviation_cut_partitions,orientation_only_tie,physical_cut_opportunity,nrs_v0_2_fallback_activated,nrs_v0_3_fallback_activated,assignment_match,objective_match
CA,011,7,4,3,false,104512,1,1,1,false,false,false,false,true,true
CA,100,7,3,4,false,50806,1,1,1,false,false,false,false,true,true
CA,101,6,3,3,true,43539,2,2,1,true,false,false,false,true,true
CA,110,7,4,3,false,47788,2,1,1,false,false,false,false,true,true
CA,111,6,3,3,true,43180,4,2,1,true,false,false,false,true,true
CA,0000,3,1,2,false,59987,1,1,1,false,false,false,false,true,true
CA,0001,4,2,2,true,50478,2,2,1,true,false,false,false,true,true
CA,0010,3,2,1,false,20061,1,1,1,false,false,false,false,true,true
CA,0011,3,2,1,false,20957,1,1,1,false,false,false,false,true,true
CA,0100,3,2,1,false,35974,1,1,1,false,false,false,false,true,true
CA,0101,3,2,1,false,42441,4,1,1,false,false,false,false,true,true
CA,0110,4,2,2,true,69872,2,2,1,true,false,false,false,true,true
CA,0111,3,1,2,false,34640,1,1,1,false,false,false,false,true,true
CA,1000,3,1,2,false,27497,1,1,1,false,false,false,false,true,true
CA,1001,4,2,2,true,23309,2,2,1,true,false,false,false,true,true
CA,1010,3,1,2,false,25663,1,1,1,false,false,false,false,true,true
CA,1011,3,1,2,false,17876,1,1,1,false,false,false,false,true,true
CA,1100,4,2,2,true,28265,4,2,1,true,false,false,false,true,true
CA,1101,3,1,2,false,19523,1,1,1,false,false,false,false,true,true
CA,1110,3,2,1,false,20196,1,1,1,false,false,false,false,true,true
CA,1111,3,2,1,false,22984,1,1,1,false,false,false,false,true,true
CA,root,52,26,26,true,519723,2,2,1,true,false,false,false,true,true
CA,00001,2,1,1,true,39705,2,2,1,true,false,false,false,true,true
CA,00010,2,1,1,true,25849,2,2,1,true,false,false,false,true,true
CA,00011,2,1,1,true,24629,2,2,1,true,false,false,false,true,true
CA,00100,2,1,1,true,13397,2,2,1,true,false,false,false,true,true
CA,00110,2,1,1,true,12586,2,2,1,true,false,false,false,true,true
CA,01000,2,1,1,true,26456,4,2,1,true,false,false,false,true,true
CA,01010,2,1,1,true,26411,2,2,1,true,false,false,false,true,true
CA,01100,2,1,1,true,33303,2,2,1,true,false,false,false,true,true
CA,01101,2,1,1,true,36569,2,2,1,true,false,false,false,true,true
CA,01111,2,1,1,true,16118,2,2,1,true,false,false,false,true,true
CA,10001,2,1,1,true,13923,2,2,1,true,false,false,false,true,true
CA,10010,2,1,1,true,10818,2,2,1,true,false,false,false,true,true
CA,10011,2,1,1,true,12491,2,2,1,true,false,false,false,true,true
CA,10101,2,1,1,true,14797,2,2,1,true,false,false,false,true,true
CA,10111,2,1,1,true,11470,10,2,1,true,false,false,false,true,true
CA,11000,2,1,1,true,15638,2,2,1,true,false,false,false,true,true
CA,11001,2,1,1,true,12627,2,2,1,true,false,false,false,true,true
CA,11011,2,1,1,true,13326,2,2,1,true,false,false,false,true,true
CA,11100,2,1,1,true,13312,2,2,1,true,false,false,false,true,true
CA,11110,2,1,1,true,15290,2,2,1,true,false,false,false,true,true
CO,0,4,2,2,true,88558,2,2,1,true,false,false,false,true,true
CO,1,4,2,2,true,51787,2,2,1,true,false,false,false,true,true
CO,00,2,1,1,true,30494,2,2,1,true,false,false,false,true,true
CO,01,2,1,1,true,58064,2,2,1,true,false,false,false,true,true
CO,10,2,1,1,true,26365,2,2,1,true,false,false,false,true,true
CO,11,2,1,1,true,25422,2,2,1,true,false,false,false,true,true
CO,root,8,4,4,true,140345,2,2,1,true,false,false,false,true,true
CT,0,2,1,1,true,21375,2,2,1,true,false,false,false,true,true
CT,1,3,1,2,false,28551,1,1,1,false,false,false,false,true,true
CT,11,2,1,1,true,20041,2,2,1,true,false,false,false,true,true
CT,root,5,2,3,false,49926,1,1,1,false,false,false,false,true,true
FL,0,14,7,7,true,217205,2,2,1,true,false,false,false,true,true
FL,1,14,7,7,true,172861,8,2,1,true,false,false,false,true,true
FL,00,7,3,4,false,115687,1,1,1,false,false,false,false,true,true
FL,01,7,3,4,false,101518,5,1,1,false,false,false,false,true,true
FL,10,7,3,4,false,96739,1,1,1,false,false,false,false,true,true
FL,11,7,3,4,false,76122,1,1,1,false,false,false,false,true,true
FL,000,3,2,1,false,68690,1,1,1,false,false,false,false,true,true
FL,001,4,2,2,true,46997,8,2,1,true,false,false,false,true,true
FL,010,3,1,2,false,49892,1,1,1,false,false,false,false,true,true
FL,011,4,2,2,true,51626,2,2,1,true,false,false,false,true,true
FL,100,3,2,1,false,40706,2,1,1,false,false,false,false,true,true
FL,101,4,2,2,true,56033,2,2,1,true,false,false,false,true,true
FL,110,3,1,2,false,40205,1,1,1,false,false,false,false,true,true
FL,111,4,2,2,true,35917,2,2,1,true,false,false,false,true,true
FL,0000,2,1,1,true,38089,2,2,1,true,false,false,false,true,true
FL,0010,2,1,1,true,20791,2,2,1,true,false,false,false,true,true
FL,0011,2,1,1,true,26206,2,2,1,true,false,false,false,true,true
FL,0101,2,1,1,true,38583,2,2,1,true,false,false,false,true,true
FL,0110,2,1,1,true,28323,2,2,1,true,false,false,false,true,true
FL,0111,2,1,1,true,23303,2,2,1,true,false,false,false,true,true
FL,1000,2,1,1,true,21345,6,2,1,true,false,false,false,true,true
FL,1010,2,1,1,true,22576,2,2,1,true,false,false,false,true,true
FL,1011,2,1,1,true,33457,4,2,1,true,false,false,false,true,true
FL,1101,2,1,1,true,30961,2,2,1,true,false,false,false,true,true
FL,1110,2,1,1,true,20228,4,2,1,true,false,false,false,true,true
FL,1111,2,1,1,true,15689,2,2,1,true,false,false,false,true,true
FL,root,28,14,14,true,390066,2,2,1,true,false,false,false,true,true
GA,0,7,4,3,false,108295,1,1,1,false,false,false,false,true,true
GA,1,7,4,3,false,124422,1,1,1,false,false,false,false,true,true
GA,00,4,2,2,true,79190,2,2,1,true,false,false,false,true,true
GA,01,3,2,1,false,29105,2,1,1,false,false,false,false,true,true
GA,10,4,2,2,true,58844,2,2,1,true,false,false,false,true,true
GA,11,3,2,1,false,65578,1,1,1,false,false,false,false,true,true
GA,000,2,1,1,true,53098,6,2,1,true,false,false,false,true,true
GA,001,2,1,1,true,26092,4,2,1,true,false,false,false,true,true
GA,010,2,1,1,true,19804,2,2,1,true,false,false,false,true,true
GA,100,2,1,1,true,41654,2,2,1,true,false,false,false,true,true
GA,101,2,1,1,true,17190,2,2,1,true,false,false,false,true,true
GA,110,2,1,1,true,36415,2,2,1,true,false,false,false,true,true
GA,root,14,7,7,true,232717,2,2,1,true,false,false,false,true,true
HI,root,2,1,1,true,14732,4,2,1,true,false,false,false,true,true
IA,0,2,1,1,true,61033,4,2,1,true,false,false,false,true,true
IA,1,2,1,1,true,114166,2,2,1,true,false,false,false,true,true
IA,root,4,2,2,true,175199,4,2,1,true,false,false,false,true,true
ID,root,2,1,1,true,81879,2,2,1,true,false,false,false,true,true
IL,0,8,4,4,true,108839,2,2,1,true,false,false,false,true,true
IL,1,9,5,4,false,261139,1,1,1,false,false,false,false,true,true
IL,00,4,2,2,true,62969,2,2,1,true,false,false,false,true,true
IL,01,4,2,2,true,45870,2,2,1,true,false,false,false,true,true
IL,10,5,2,3,false,89838,1,1,1,false,false,false,false,true,true
IL,11,4,2,2,true,171301,4,2,1,true,false,false,false,true,true
IL,000,2,1,1,true,37441,2,2,1,true,false,false,false,true,true
IL,001,2,1,1,true,25528,4,2,1,true,false,false,false,true,true
IL,010,2,1,1,true,20097,4,2,1,true,false,false,false,true,true
IL,011,2,1,1,true,25773,2,2,1,true,false,false,false,true,true
IL,100,2,1,1,true,39834,2,2,1,true,false,false,false,true,true
IL,101,3,2,1,false,50004,1,1,1,false,false,false,false,true,true
IL,110,2,1,1,true,78578,2,2,1,true,false,false,false,true,true
IL,111,2,1,1,true,92723,2,2,1,true,false,false,false,true,true
IL,1010,2,1,1,true,29166,2,2,1,true,false,false,false,true,true
IL,root,17,8,9,false,369978,1,1,1,false,false,false,false,true,true
IN,0,5,3,2,false,114050,1,1,1,false,false,false,false,true,true
IN,1,4,2,2,true,90518,2,2,1,true,false,false,false,true,true
IN,00,3,1,2,false,67245,1,1,1,false,false,false,false,true,true
IN,01,2,1,1,true,46805,2,2,1,true,false,false,false,true,true
IN,10,2,1,1,true,36917,2,2,1,true,false,false,false,true,true
IN,11,2,1,1,true,53601,2,2,1,true,false,false,false,true,true
IN,001,2,1,1,true,44881,4,2,1,true,false,false,false,true,true
IN,root,9,5,4,false,204568,1,1,1,false,false,false,false,true,true
KS,0,2,1,1,true,59446,6,2,1,true,false,false,false,true,true
KS,1,2,1,1,true,113083,2,2,1,true,false,false,false,true,true
KS,root,4,2,2,true,172529,2,2,1,true,false,false,false,true,true
KY,0,3,1,2,false,57457,1,1,1,false,false,false,false,true,true
KY,1,3,1,2,false,75205,1,1,1,false,false,false,false,true,true
KY,01,2,1,1,true,35486,2,2,1,true,false,false,false,true,true
KY,11,2,1,1,true,61055,2,2,1,true,false,false,false,true,true
KY,root,6,3,3,true,132662,4,2,1,true,false,false,false,true,true
LA,0,3,1,2,false,58566,2,1,1,false,false,false,false,true,true
LA,1,3,2,1,false,84308,1,1,1,false,false,false,false,true,true
LA,01,2,1,1,true,37761,6,2,1,true,false,false,false,true,true
LA,10,2,1,1,true,57772,2,2,1,true,false,false,false,true,true
LA,root,6,3,3,true,142874,2,2,1,true,false,false,false,true,true
MA,0,5,3,2,false,55015,1,1,1,false,false,false,false,true,true
MA,1,4,2,2,true,52263,2,2,1,true,false,false,false,true,true
MA,00,3,1,2,false,31362,1,1,1,false,false,false,false,true,true
MA,01,2,1,1,true,23653,2,2,1,true,false,false,false,true,true
MA,10,2,1,1,true,25714,2,2,1,true,false,false,false,true,true
MA,11,2,1,1,true,26549,2,2,1,true,false,false,false,true,true
MA,001,2,1,1,true,18384,2,2,1,true,false,false,false,true,true
MA,root,9,5,4,false,107278,3,1,1,false,false,false,false,true,true
MD,0,4,2,2,true,47154,2,2,1,true,false,false,false,true,true
MD,1,4,2,2,true,36673,2,2,1,true,false,false,false,true,true
MD,00,2,1,1,true,25886,2,2,1,true,false,false,false,true,true
MD,01,2,1,1,true,21268,2,2,1,true,false,false,false,true,true
MD,10,2,1,1,true,20818,8,2,1,true,false,false,false,true,true
MD,11,2,1,1,true,15855,2,2,1,true,false,false,false,true,true
MD,root,8,4,4,true,83827,4,2,1,true,false,false,false,true,true
ME,root,2,1,1,true,47138,2,2,1,true,false,false,false,true,true
MI,0,6,3,3,true,152121,2,2,1,true,false,false,false,true,true
MI,1,7,3,4,false,102609,1,1,1,false,false,false,false,true,true
MI,00,3,2,1,false,102524,1,1,1,false,false,false,false,true,true
MI,01,3,1,2,false,49597,1,1,1,false,false,false,false,true,true
MI,10,3,1,2,false,38459,1,1,1,false,false,false,false,true,true
MI,11,4,2,2,true,64150,4,2,1,true,false,false,false,true,true
MI,000,2,1,1,true,84227,4,2,1,true,false,false,false,true,true
MI,011,2,1,1,true,35674,2,2,1,true,false,false,false,true,true
MI,101,2,1,1,true,23777,2,2,1,true,false,false,false,true,true
MI,110,2,1,1,true,33170,2,2,1,true,false,false,false,true,true
MI,111,2,1,1,true,30980,2,2,1,true,false,false,false,true,true
MI,root,13,6,7,false,254730,1,1,1,false,false,false,false,true,true
MN,0,4,2,2,true,108963,2,2,1,true,false,false,false,true,true
MN,1,4,2,2,true,89742,2,2,1,true,false,false,false,true,true
MN,00,2,1,1,true,88200,2,2,1,true,false,false,false,true,true
MN,01,2,1,1,true,20763,2,2,1,true,false,false,false,true,true
MN,10,2,1,1,true,22097,2,2,1,true,false,false,false,true,true
MN,11,2,1,1,true,67645,2,2,1,true,false,false,false,true,true
MN,root,8,4,4,true,198705,2,2,1,true,false,false,false,true,true
MO,0,4,2,2,true,113778,2,2,1,true,false,false,false,true,true
MO,1,4,2,2,true,139854,2,2,1,true,false,false,false,true,true
MO,00,2,1,1,true,76247,4,2,1,true,false,false,false,true,true
MO,01,2,1,1,true,37531,8,2,1,true,false,false,false,true,true
MO,10,2,1,1,true,46619,10,2,1,true,false,false,false,true,true
MO,11,2,1,1,true,93235,4,2,1,true,false,false,false,true,true
MO,root,8,4,4,true,253632,2,2,1,true,false,false,false,true,true
MS,0,2,1,1,true,60318,2,2,1,true,false,false,false,true,true
MS,1,2,1,1,true,51923,4,2,1,true,false,false,false,true,true
MS,root,4,2,2,true,112241,2,2,1,true,false,false,false,true,true
MT,root,2,1,1,true,88417,2,2,1,true,false,false,false,true,true
NC,0,7,4,3,false,116010,1,1,1,false,false,false,false,true,true
NC,1,7,3,4,false,120628,1,1,1,false,false,false,false,true,true
NC,00,4,2,2,true,62947,2,2,1,true,false,false,false,true,true
NC,01,3,2,1,false,53063,2,1,1,false,false,false,false,true,true
NC,10,3,2,1,false,55059,10,1,1,false,false,false,false,true,true
NC,11,4,2,2,true,65569,2,2,1,true,false,false,false,true,true
NC,000,2,1,1,true,36287,2,2,1,true,false,false,false,true,true
NC,001,2,1,1,true,26660,2,2,1,true,false,false,false,true,true
NC,010,2,1,1,true,33964,4,2,1,true,false,false,false,true,true
NC,100,2,1,1,true,36217,2,2,1,true,false,false,false,true,true
NC,110,2,1,1,true,34851,2,2,1,true,false,false,false,true,true
NC,111,2,1,1,true,30718,2,2,1,true,false,false,false,true,true
NC,root,14,7,7,true,236638,2,2,1,true,false,false,false,true,true
NE,1,2,1,1,true,93278,8,2,1,true,false,false,false,true,true
NE,root,3,1,2,false,119103,1,1,1,false,false,false,false,true,true
NH,root,2,1,1,true,31948,2,2,1,true,false,false,false,true,true
NJ,0,6,3,3,true,76725,2,2,1,true,false,false,false,true,true
NJ,1,6,3,3,true,61247,4,2,1,true,false,false,false,true,true
NJ,00,3,1,2,false,49554,1,1,1,false,false,false,false,true,true
NJ,01,3,1,2,false,27171,1,1,1,false,false,false,false,true,true
NJ,10,3,2,1,false,23514,1,1,1,false,false,false,false,true,true
NJ,11,3,2,1,false,37733,1,1,1,false,false,false,false,true,true
NJ,001,2,1,1,true,32883,2,2,1,true,false,false,false,true,true
NJ,011,2,1,1,true,16051,2,2,1,true,false,false,false,true,true
NJ,100,2,1,1,true,14141,2,2,1,true,false,false,false,true,true
NJ,110,2,1,1,true,23257,2,2,1,true,false,false,false,true,true
NJ,root,12,6,6,true,137972,4,2,1,true,false,false,false,true,true
NM,1,2,1,1,true,66549,2,2,1,true,false,false,false,true,true
NM,root,3,1,2,false,107215,10,1,1,false,false,false,false,true,true
NV,0,2,1,1,true,43286,2,2,1,true,false,false,false,true,true
NV,1,2,1,1,true,14123,4,2,1,true,false,false,false,true,true
NV,root,4,2,2,true,57409,2,2,1,true,false,false,false,true,true
NY,0,13,6,7,false,211129,2,1,1,false,false,false,false,true,true
NY,1,13,7,6,false,77690,1,1,1,false,false,false,false,true,true
NY,00,6,3,3,true,112870,2,2,1,true,false,false,false,true,true
NY,01,7,4,3,false,98259,1,1,1,false,false,false,false,true,true
NY,10,7,4,3,false,20897,1,1,1,false,false,false,false,true,true
NY,11,6,3,3,true,56793,2,2,1,true,false,false,false,true,true
NY,000,3,2,1,false,70215,1,1,1,false,false,false,false,true,true
NY,001,3,2,1,false,42655,1,1,1,false,false,false,false,true,true
NY,010,4,2,2,true,85628,2,2,1,true,false,false,false,true,true
NY,011,3,2,1,false,12631,1,1,1,false,false,false,false,true,true
NY,100,4,2,2,true,8524,2,2,1,true,false,false,false,true,true
NY,101,3,1,2,false,12373,1,1,1,false,false,false,false,true,true
NY,110,3,2,1,false,27990,1,1,1,false,false,false,false,true,true
NY,111,3,1,2,false,28803,1,1,1,false,false,false,false,true,true
NY,0000,2,1,1,true,49363,2,2,1,true,false,false,false,true,true
NY,0010,2,1,1,true,24671,2,2,1,true,false,false,false,true,true
NY,0100,2,1,1,true,59815,2,2,1,true,false,false,false,true,true
NY,0101,2,1,1,true,25813,2,2,1,true,false,false,false,true,true
NY,0110,2,1,1,true,9655,2,2,1,true,false,false,false,true,true
NY,1000,2,1,1,true,4164,2,2,1,true,false,false,false,true,true
NY,1001,2,1,1,true,4360,2,2,1,true,false,false,false,true,true
NY,1011,2,1,1,true,6639,6,2,1,true,false,false,false,true,true
NY,1100,2,1,1,true,19657,2,2,1,true,false,false,false,true,true
NY,1111,2,1,1,true,22979,2,2,1,true,false,false,false,true,true
NY,root,26,13,13,true,288819,2,2,1,true,false,false,false,true,true
OH,0,7,4,3,false,143570,1,1,1,false,false,false,false,true,true
OH,1,8,4,4,true,132858,2,2,1,true,false,false,false,true,true
OH,00,4,2,2,true,79089,2,2,1,true,false,false,false,true,true
OH,01,3,1,2,false,64481,1,1,1,false,false,false,false,true,true
OH,10,4,2,2,true,57581,2,2,1,true,false,false,false,true,true
OH,11,4,2,2,true,75277,2,2,1,true,false,false,false,true,true
OH,000,2,1,1,true,51589,2,2,1,true,false,false,false,true,true
OH,001,2,1,1,true,27500,2,2,1,true,false,false,false,true,true
OH,011,2,1,1,true,48561,2,2,1,true,false,false,false,true,true
OH,100,2,1,1,true,20575,2,2,1,true,false,false,false,true,true
OH,101,2,1,1,true,37006,2,2,1,true,false,false,false,true,true
OH,110,2,1,1,true,39178,2,2,1,true,false,false,false,true,true
OH,111,2,1,1,true,36099,2,2,1,true,false,false,false,true,true
OH,root,15,7,8,false,276428,1,1,1,false,false,false,false,true,true
OK,0,2,1,1,true,65134,2,2,1,true,false,false,false,true,true
OK,1,3,2,1,false,115020,1,1,1,false,false,false,false,true,true
OK,10,2,1,1,true,57150,4,2,1,true,false,false,false,true,true
OK,root,5,2,3,false,180154,2,1,1,false,false,false,false,true,true
OR,0,3,1,2,false,47436,1,1,1,false,false,false,false,true,true
OR,1,3,1,2,false,83371,2,1,1,false,false,false,false,true,true
OR,01,2,1,1,true,21718,2,2,1,true,false,false,false,true,true
OR,11,2,1,1,true,62970,4,2,1,true,false,false,false,true,true
OR,root,6,3,3,true,130807,2,2,1,true,false,false,false,true,true
PA,0,9,4,5,false,228773,1,1,1,false,false,false,false,true,true
PA,1,8,4,4,true,108212,2,2,1,true,false,false,false,true,true
PA,00,4,2,2,true,107490,2,2,1,true,false,false,false,true,true
PA,01,5,3,2,false,121283,1,1,1,false,false,false,false,true,true
PA,10,4,2,2,true,47461,2,2,1,true,false,false,false,true,true
PA,11,4,2,2,true,60751,2,2,1,true,false,false,false,true,true
PA,000,2,1,1,true,66354,2,2,1,true,false,false,false,true,true
PA,001,2,1,1,true,41136,8,2,1,true,false,false,false,true,true
PA,010,3,1,2,false,73520,1,1,1,false,false,false,false,true,true
PA,011,2,1,1,true,47763,2,2,1,true,false,false,false,true,true
PA,100,2,1,1,true,27972,2,2,1,true,false,false,false,true,true
PA,101,2,1,1,true,19489,2,2,1,true,false,false,false,true,true
PA,110,2,1,1,true,33901,2,2,1,true,false,false,false,true,true
PA,111,2,1,1,true,26850,2,2,1,true,false,false,false,true,true
PA,0101,2,1,1,true,50304,2,2,1,true,false,false,false,true,true
PA,root,17,9,8,false,336985,1,1,1,false,false,false,false,true,true
RI,root,2,1,1,true,25649,4,2,1,true,false,false,false,true,true
SC,0,4,2,2,true,83301,2,2,1,true,false,false,false,true,true
SC,1,3,1,2,false,63543,1,1,1,false,false,false,false,true,true
SC,00,2,1,1,true,38603,2,2,1,true,false,false,false,true,true
SC,01,2,1,1,true,44698,2,2,1,true,false,false,false,true,true
SC,11,2,1,1,true,45302,2,2,1,true,false,false,false,true,true
SC,root,7,4,3,false,146844,1,1,1,false,false,false,false,true,true
TN,0,5,2,3,false,92288,2,1,1,false,false,false,false,true,true
TN,1,4,2,2,true,87429,4,2,1,true,false,false,false,true,true
TN,00,2,1,1,true,42089,2,2,1,true,false,false,false,true,true
TN,01,3,1,2,false,50199,1,1,1,false,false,false,false,true,true
TN,10,2,1,1,true,45857,2,2,1,true,false,false,false,true,true
TN,11,2,1,1,true,41572,2,2,1,true,false,false,false,true,true
TN,011,2,1,1,true,25162,2,2,1,true,false,false,false,true,true
TN,root,9,5,4,false,179717,1,1,1,false,false,false,false,true,true
TX,0,19,10,9,false,372614,1,1,1,false,false,false,false,true,true
TX,1,19,9,10,false,296143,1,1,1,false,false,false,false,true,true
TX,00,10,5,5,true,210360,2,2,1,true,false,false,false,true,true
TX,01,9,4,5,false,162254,1,1,1,false,false,false,false,true,true
TX,10,9,5,4,false,142889,1,1,1,false,false,false,false,true,true
TX,11,10,5,5,true,153254,2,2,1,true,false,false,false,true,true
TX,000,5,3,2,false,113562,1,1,1,false,false,false,false,true,true
TX,001,5,3,2,false,96798,1,1,1,false,false,false,false,true,true
TX,010,4,2,2,true,71837,2,2,1,true,false,false,false,true,true
TX,011,5,2,3,false,90417,1,1,1,false,false,false,false,true,true
TX,100,5,3,2,false,96490,1,1,1,false,false,false,false,true,true
TX,101,4,2,2,true,46399,2,2,1,true,false,false,false,true,true
TX,110,5,3,2,false,49315,1,1,1,false,false,false,false,true,true
TX,111,5,3,2,false,103939,1,1,1,false,false,false,false,true,true
TX,0000,3,1,2,false,92768,1,1,1,false,false,false,false,true,true
TX,0001,2,1,1,true,20794,2,2,1,true,false,false,false,true,true
TX,0010,3,1,2,false,71372,2,1,1,false,false,false,false,true,true
TX,0011,2,1,1,true,25426,2,2,1,true,false,false,false,true,true
TX,0100,2,1,1,true,28714,2,2,1,true,false,false,false,true,true
TX,0101,2,1,1,true,43123,2,2,1,true,false,false,false,true,true
TX,0110,2,1,1,true,56952,4,2,1,true,false,false,false,true,true
TX,0111,3,1,2,false,33465,1,1,1,false,false,false,false,true,true
TX,1000,3,1,2,false,57704,1,1,1,false,false,false,false,true,true
TX,1001,2,1,1,true,38786,2,2,1,true,false,false,false,true,true
TX,1010,2,1,1,true,21802,2,2,1,true,false,false,false,true,true
TX,1011,2,1,1,true,24597,2,2,1,true,false,false,false,true,true
TX,1100,3,1,2,false,25080,1,1,1,false,false,false,false,true,true
TX,1101,2,1,1,true,24235,2,2,1,true,false,false,false,true,true
TX,1110,3,2,1,false,74763,2,1,1,false,false,false,false,true,true
TX,1111,2,1,1,true,29176,10,2,1,true,false,false,false,true,true
TX,root,38,19,19,true,668757,2,2,1,true,false,false,false,true,true
TX,00001,2,1,1,true,63633,6,2,1,true,false,false,false,true,true
TX,00101,2,1,1,true,20666,2,2,1,true,false,false,false,true,true
TX,01111,2,1,1,true,18149,2,2,1,true,false,false,false,true,true
TX,10001,2,1,1,true,34404,2,2,1,true,false,false,false,true,true
TX,11001,2,1,1,true,13418,2,2,1,true,false,false,false,true,true
TX,11100,2,1,1,true,47033,2,2,1,true,false,false,false,true,true
UT,0,2,1,1,true,46669,88,2,1,true,false,false,false,true,true
UT,1,2,1,1,true,24538,2,2,1,true,false,false,false,true,true
UT,root,4,2,2,true,71207,2,2,1,true,false,false,false,true,true
VA,0,5,3,2,false,55186,1,1,1,false,false,false,false,true,true
VA,1,6,3,3,true,108305,2,2,1,true,false,false,false,true,true
VA,00,3,2,1,false,27004,4,1,1,false,false,false,false,true,true
VA,01,2,1,1,true,28182,2,2,1,true,false,false,false,true,true
VA,10,3,1,2,false,43243,3,1,1,false,false,false,false,true,true
VA,11,3,1,2,false,65062,1,1,1,false,false,false,false,true,true
VA,000,2,1,1,true,16933,2,2,1,true,false,false,false,true,true
VA,101,2,1,1,true,30955,2,2,1,true,false,false,false,true,true
VA,111,2,1,1,true,51317,4,2,1,true,false,false,false,true,true
VA,root,11,5,6,false,163491,3,1,1,false,false,false,false,true,true
WA,0,5,2,3,false,66186,1,1,1,false,false,false,false,true,true
WA,1,5,2,3,false,91907,1,1,1,false,false,false,false,true,true
WA,00,2,1,1,true,38617,2,2,1,true,false,false,false,true,true
WA,01,3,2,1,false,27569,1,1,1,false,false,false,false,true,true
WA,10,2,1,1,true,42565,2,2,1,true,false,false,false,true,true
WA,11,3,2,1,false,49342,1,1,1,false,false,false,false,true,true
WA,010,2,1,1,true,17703,2,2,1,true,false,false,false,true,true
WA,110,2,1,1,true,31148,2,2,1,true,false,false,false,true,true
WA,root,10,5,5,true,158093,2,2,1,true,false,false,false,true,true
WI,0,4,2,2,true,133059,2,2,1,true,false,false,false,true,true
WI,1,4,2,2,true,70000,2,2,1,true,false,false,false,true,true
WI,00,2,1,1,true,56284,2,2,1,true,false,false,false,true,true
WI,01,2,1,1,true,76775,2,2,1,true,false,false,false,true,true
WI,10,2,1,1,true,31592,2,2,1,true,false,false,false,true,true
WI,11,2,1,1,true,38408,2,2,1,true,false,false,false,true,true
WI,root,8,4,4,true,203059,2,2,1,true,false,false,false,true,true
WV,root,2,1,1,true,72558,2,2,1,true,false,false,false,true,true
