state,left,right,matched_units,different_units,matched_unit_rate
KS,ratio-optimal,ratio-optimal-area,713,116,0.8600723763570567
KS,ratio-optimal,prime-factor,584,245,0.7044632086851629
KS,ratio-optimal-area,prime-factor,626,203,0.7551266586248492
MS,standard-bisect,ratio-optimal,878,0,1.0
MS,standard-bisect,ratio-optimal-area,787,91,0.8963553530751709
MS,standard-bisect,prime-factor,837,41,0.9533029612756264
MS,ratio-optimal,ratio-optimal-area,787,91,0.8963553530751709
MS,ratio-optimal,prime-factor,837,41,0.9533029612756264
MS,ratio-optimal-area,prime-factor,784,94,0.8929384965831435
NV,standard-bisect,ratio-optimal,677,102,0.8690629011553274
NV,standard-bisect,ratio-optimal-area,456,323,0.5853658536585366
NV,standard-bisect,prime-factor,696,83,0.8934531450577664
NV,ratio-optimal,ratio-optimal-area,476,303,0.6110397946084724
NV,ratio-optimal,prime-factor,684,95,0.8780487804878049
NV,ratio-optimal-area,prime-factor,479,300,0.6148908857509627
UT,standard-bisect,ratio-optimal,415,301,0.5796089385474861
UT,standard-bisect,ratio-optimal-area,480,236,0.6703910614525139
UT,standard-bisect,prime-factor,622,94,0.8687150837988827
UT,ratio-optimal,ratio-optimal-area,341,375,0.4762569832402235
UT,ratio-optimal,prime-factor,414,302,0.5782122905027933
UT,ratio-optimal-area,prime-factor,465,251,0.6494413407821229
OK,standard-bisect,ratio-optimal,896,309,0.7435684647302905
OK,standard-bisect,ratio-optimal-area,722,483,0.5991701244813278
OK,standard-bisect,prime-factor,967,238,0.8024896265560166
OK,ratio-optimal,ratio-optimal-area,812,393,0.6738589211618258
OK,ratio-optimal,prime-factor,862,343,0.7153526970954357
OK,ratio-optimal-area,prime-factor,686,519,0.5692946058091286
LA,standard-bisect,ratio-optimal,1388,0,1.0
LA,standard-bisect,ratio-optimal-area,896,492,0.6455331412103746
LA,standard-bisect,prime-factor,912,476,0.6570605187319885
LA,ratio-optimal,ratio-optimal-area,896,492,0.6455331412103746
LA,ratio-optimal,prime-factor,912,476,0.6570605187319885
LA,ratio-optimal-area,prime-factor,949,439,0.6837175792507204
OR,standard-bisect,ratio-optimal,681,320,0.6803196803196803
OR,standard-bisect,ratio-optimal-area,569,432,0.5684315684315684
OR,standard-bisect,prime-factor,519,482,0.5184815184815185
OR,ratio-optimal,ratio-optimal-area,558,443,0.5574425574425574
OR,ratio-optimal,prime-factor,723,278,0.7222777222777222
OR,ratio-optimal-area,prime-factor,611,390,0.6103896103896104
AL,standard-bisect,ratio-optimal,1437,0,1.0
AL,standard-bisect,ratio-optimal-area,1030,407,0.7167710508002784
AL,standard-bisect,prime-factor,1081,356,0.7522616562282533
AL,ratio-optimal,ratio-optimal-area,1030,407,0.7167710508002784
AL,ratio-optimal,prime-factor,1081,356,0.7522616562282533
AL,ratio-optimal-area,prime-factor,946,491,0.6583159359777314
CO,standard-bisect,ratio-optimal,939,508,0.6489288182446441
CO,standard-bisect,ratio-optimal-area,745,702,0.5148583275742916
CO,standard-bisect,prime-factor,877,570,0.6060815480304077
CO,ratio-optimal,ratio-optimal-area,911,536,0.6295784381478922
CO,ratio-optimal,prime-factor,725,722,0.5010366275051832
CO,ratio-optimal-area,prime-factor,698,749,0.4823773324118867
MD,standard-bisect,ratio-optimal,983,492,0.6664406779661017
MD,standard-bisect,ratio-optimal-area,765,710,0.5186440677966102
MD,standard-bisect,prime-factor,989,486,0.6705084745762712
MD,ratio-optimal,ratio-optimal-area,1025,450,0.6949152542372882
MD,ratio-optimal,prime-factor,1068,407,0.7240677966101695
MD,ratio-optimal-area,prime-factor,795,680,0.5389830508474577
MN,standard-bisect,ratio-optimal,1031,474,0.6850498338870432
MN,standard-bisect,ratio-optimal-area,781,724,0.518936877076412
MN,standard-bisect,prime-factor,1021,484,0.6784053156146179
MN,ratio-optimal,ratio-optimal-area,896,609,0.5953488372093023
MN,ratio-optimal,prime-factor,891,614,0.5920265780730897
MN,ratio-optimal-area,prime-factor,784,721,0.5209302325581395
MO,standard-bisect,ratio-optimal,1028,626,0.6215235792019347
MO,standard-bisect,ratio-optimal-area,860,794,0.5199516324062878
MO,standard-bisect,prime-factor,1167,487,0.7055622732769045
MO,ratio-optimal,ratio-optimal-area,1070,584,0.6469165659008465
MO,ratio-optimal,prime-factor,1148,506,0.694074969770254
MO,ratio-optimal-area,prime-factor,1121,533,0.6777509068923822
IN,standard-bisect,ratio-optimal,1113,583,0.65625
IN,standard-bisect,ratio-optimal-area,1041,655,0.6137971698113207
IN,standard-bisect,prime-factor,988,708,0.5825471698113207
IN,ratio-optimal,ratio-optimal-area,1146,550,0.6757075471698113
IN,ratio-optimal,prime-factor,1276,420,0.7523584905660378
IN,ratio-optimal-area,prime-factor,1261,435,0.7435141509433962
MA,standard-bisect,ratio-optimal,1041,579,0.6425925925925926
MA,standard-bisect,ratio-optimal-area,943,677,0.5820987654320988
MA,standard-bisect,prime-factor,1081,539,0.667283950617284
MA,ratio-optimal,ratio-optimal-area,1191,429,0.7351851851851852
MA,ratio-optimal,prime-factor,1206,414,0.7444444444444445
MA,ratio-optimal-area,prime-factor,1018,602,0.6283950617283951
TN,standard-bisect,ratio-optimal,1600,101,0.940623162845385
TN,standard-bisect,ratio-optimal-area,1416,285,0.8324514991181657
TN,standard-bisect,prime-factor,1308,393,0.7689594356261023
TN,ratio-optimal,ratio-optimal-area,1458,243,0.8571428571428571
TN,ratio-optimal,prime-factor,1357,344,0.7977660199882423
