state,districts,child_seats_left,child_seats_right,unit_count,benchmark_seed,status,failure,minimum_deviation_candidates,minimum_deviation_cut_candidates,seed_sensitive_tie_opportunity,assignment_match,objective_match,governed_assignment_sha256,instrumented_assignment_sha256,governed_discovery_sha256,instrumented_discovery_sha256
AL,7,4,3,185976,1245411907,accepted,,1,1,false,true,true,588836b74177f66c21b2b4aa672c763a64733275baeff51db433dcd4a822a4fb,588836b74177f66c21b2b4aa672c763a64733275baeff51db433dcd4a822a4fb,16241bdcafe6c54264d161f02b59e4791dfc38968327c8ab2bdf4bff5c94389a,aecddefa43f5c32958107cedf08b931d8ca7bde336f1d4c880e95ebb6c0725b2
AR,4,2,2,136422,986472138,accepted,,2,2,true,true,true,46f7de855503abbd37559c7e2bb7065a221b1196b7fc1f55a17bacd399a33ae2,46f7de855503abbd37559c7e2bb7065a221b1196b7fc1f55a17bacd399a33ae2,880dc57a350854ab09ec66ee3e0ed148dd99efa593acc94f158471e02e909149,f7aa1373d16134bbe006a6c068a969166c8a244cc9437e1a768dde3feb772bb6
AZ,9,4,5,155444,630335712,accepted,,1,1,false,true,true,c0c8d04c07a28c8fb498bdecf8e29955cb1a972234d0f9f65c91b0fa12b531dc,c0c8d04c07a28c8fb498bdecf8e29955cb1a972234d0f9f65c91b0fa12b531dc,04932112891d3524aeaac9d1fe71403e5711d96022dfe2e5c37a7dd757e204df,f56ff6810d1e1f336a669c3ccf924bd25ea5feb93be61e9cda7024fa4f93e12b
CA,52,26,26,519723,530580877,accepted,,2,2,true,true,true,e09e64f581a787177df7e50f458be8f4d3261982d33cf7fc22e41290ccb7c393,e09e64f581a787177df7e50f458be8f4d3261982d33cf7fc22e41290ccb7c393,68cccfab99337528c561488fff07eea18f36ccebb4628a93d7236116c6041afd,a5fc1f1f307ad3f6f1b166f627047c996998d574e617f06c2a5566599153ed2a
CO,8,4,4,140345,68704204,accepted,,2,2,true,true,true,fa1f4d3b5d8f0a84358b75029ecf02becabaeae6dfb750fea0ec5a1cbd32b60b,fa1f4d3b5d8f0a84358b75029ecf02becabaeae6dfb750fea0ec5a1cbd32b60b,c3c324f486a2c00fc6ccb368b05b05d28fda8ad58401cf10faeb7d8ea11425fb,f8b879b39f37719158af878ca6524312daa9c79c15d31fbe92fd835044263f17
CT,5,2,3,49926,1184001889,accepted,,1,1,false,true,true,fc68ba6353289d33c9a7bb2b89fba849873d2b817e90584ece98a5204e6cd541,fc68ba6353289d33c9a7bb2b89fba849873d2b817e90584ece98a5204e6cd541,d60f03370c754140cec5de2fbddbdffd4395803040d2a1ff31b3be111808173c,ee6d3c5b6ac6c9a210160e0be7f4d2c714fe76536d694763fa741a782b82c3e4
FL,28,14,14,390066,481886624,accepted,,2,2,true,true,true,c665f12c3b06323a36b4020011e28820d6e2883b8b26b197d6e06080589cc8d1,c665f12c3b06323a36b4020011e28820d6e2883b8b26b197d6e06080589cc8d1,16dfefc9637d9a86a684d843a50df2496d1f479e2eb7306e89d7bf4896bff154,75a1c6e54dce6aed4aa951b7f1ba89ff4d6be8afacacd5368f6ed563d3c0d4cc
GA,14,7,7,232717,1570084764,accepted,,2,2,true,true,true,b825b85a44c5c92dde969782a205bbf3c6a5c608a438304fce7054936f74715b,b825b85a44c5c92dde969782a205bbf3c6a5c608a438304fce7054936f74715b,7e908aa442ca61ae4633db06d3156080d41afcf09ab59dcc2c4c2834ceb61b77,b4441aa6e7e4864879f1c3142f64a25ed9a881e7672e8b6097b600270c6a5b30
HI,2,1,1,14732,1140230542,accepted,,4,2,true,true,true,dfafe1e7131930760867dee58b8e384ef0cc44fd57aa182816994aef30d04a4a,dfafe1e7131930760867dee58b8e384ef0cc44fd57aa182816994aef30d04a4a,5292ec351eb765d2ec38555083f2adcedb5e91119bf309f2c77a2205b4b9b4e5,73d5235650323228a68b98baf32cda6bfb72988029d1e9b07b0494524354508a
IA,4,2,2,175199,1761054437,accepted,,4,2,true,true,true,38f7997ec8df178b7c621f7bc025327b241aad46330959b0e7f84a70fa9f6077,38f7997ec8df178b7c621f7bc025327b241aad46330959b0e7f84a70fa9f6077,6b5da26ccd06981e67ec89f92533f246a21042fcbee07d6906732c0f79e6f2ab,1afc0939889db74a7b4a9678294d5ced7ab1d97465e55e8b5492fabb4208ca3a
ID,2,1,1,81879,2104119704,accepted,,2,2,true,true,true,b0fa4afc33cfc954283a18504ac9a3332ed3cf8cdc53ff42a3f75bc3687203d4,b0fa4afc33cfc954283a18504ac9a3332ed3cf8cdc53ff42a3f75bc3687203d4,36ce2f8dcbcb6c00f6e41b21e8c5b474cffb12e775ff86ab3913fc8110bbcfe1,2d9f4641e03eef03390becfd817a123803ad066796069f778f79252242185eda
IL,17,8,9,369978,1967858314,accepted,,1,1,false,true,true,7d27324b811d5569bf449dbec44d457d847dada4ac7f576afaed9a5060825315,7d27324b811d5569bf449dbec44d457d847dada4ac7f576afaed9a5060825315,f0f9afee7fe97081253f592b5d1281be6fb3dc11cc152ce57c77c8a77386b8b0,0a5d9ec7645cc3a0388062daf00792b7f4f6850a9e86d3e7a7b0f49bfc4ed369
IN,9,5,4,204568,1867055104,accepted,,1,1,false,true,true,910b21ec9e676b5a7911c0f66fc2faec140d8136bab67daa5da289883e64d23c,910b21ec9e676b5a7911c0f66fc2faec140d8136bab67daa5da289883e64d23c,b0a844c04307cfd414f6357f6a9eb67b1171a414a0e906f30c9a4cb0e05c2a91,08e95e7a749e1ce00b4ca46e241e3c3ab7dbd51efbf011a356c871186b7347b9
KS,4,2,2,172529,1896238958,accepted,,2,2,true,true,true,1d46b30cd085c5847e482749a57b86b2476a728599d595971b423992988df718,1d46b30cd085c5847e482749a57b86b2476a728599d595971b423992988df718,aec978c6c78c6f46af06af1d60a5c468ed7c94cd7f554021e183b2e0305e5dd8,2abc458f78dbdfefa0cbc93ad6daecb6c7afa028d57da8261e4b276a5f3e8471
KY,6,3,3,132662,1403040924,accepted,,4,2,true,true,true,d66ba2885c9006ba543a0a915ea7484848acdf6e624c3aac390ce56fe1cee34d,d66ba2885c9006ba543a0a915ea7484848acdf6e624c3aac390ce56fe1cee34d,672813cfede34c03e701a3fa9f871a17b30a86ce961fd2d513accf8793bcb310,f469a3f125c6e9b1e04f2d88c0bffed3133f247adaf83343c2133d5765140c22
LA,6,3,3,142874,898166797,accepted,,2,2,true,true,true,39e385cffa3b7bce0792ffcef03ba928146798a748e41aeb42d6a6bb54fc8b6c,39e385cffa3b7bce0792ffcef03ba928146798a748e41aeb42d6a6bb54fc8b6c,89b9336f7c90cf3583dbfa9b6096ef82a532a2b8e5e338489188be50f1d92652,75c1472fb34e738374dd0e236853546b3b88530ea8376c66acc0042473e836e4
MA,9,5,4,107278,264828259,accepted,,3,1,false,true,true,07a97e2d1a16334d83dec88c16dda6a4236034f13b91b47ae018b7062d4c5211,07a97e2d1a16334d83dec88c16dda6a4236034f13b91b47ae018b7062d4c5211,a77b26e8ee2072f92fd4994aa9faed1412fc6ee5b4b16f098028170c34b902f4,b7c3c95e84a2cef4a75a8a404f7bfa4e885b68b3064cb1b5b84cd718a5b3a677
MD,8,4,4,83827,2118239800,accepted,,4,2,true,true,true,71f88ec00252c494228f87a01d6590f40a31c2edde8fcf53d1df454bb1be17e5,71f88ec00252c494228f87a01d6590f40a31c2edde8fcf53d1df454bb1be17e5,598eb4d83f6d8927091fca6c9438057207df68a16dfbb26b8c9d53aa087a4d1a,975391697d68f37d34a42e33924d63f6f4c0d45f90e7723e72bd190edc5a806d
ME,2,1,1,47138,2042346422,accepted,,2,2,true,true,true,5d92b8b8a1f7f0b9d78636aafc3bee2659db2c94c03dbcb952059e59e889cbe5,5d92b8b8a1f7f0b9d78636aafc3bee2659db2c94c03dbcb952059e59e889cbe5,571d46ede842b593843db9ac4fbdb803ecb99df69ba2ac7d524f084e34d0bace,3be6fdd5fe597aff659d2701f654ecf4910263c85f5579a04c86dde7821c4909
MI,13,6,7,254730,1847978398,accepted,,1,1,false,true,true,73d9ea30e67665a1ef475c39f3ae484f5cf3c61b2a13701601e79d2bcb5319b6,73d9ea30e67665a1ef475c39f3ae484f5cf3c61b2a13701601e79d2bcb5319b6,a974327323b29323764407d73420e2736291a5f63ac5041546a35abd58e31354,030c9c241077b26a3d832db760a43f833871f33aaebcb63b251b80c893439d90
