state,districts,child_seats_left,child_seats_right,unit_count,benchmark_seed,status,failure,minimum_deviation_candidates,minimum_deviation_cut_candidates,seed_sensitive_tie_opportunity,assignment_match,objective_match,governed_assignment_sha256,instrumented_assignment_sha256,governed_discovery_sha256,instrumented_discovery_sha256
MN,8,4,4,198705,1309774783,accepted,,2,2,true,true,true,c6910fff9a377dca05e9ef40f17d568c87c396b987e66297b39fb0ec98e23d6a,c6910fff9a377dca05e9ef40f17d568c87c396b987e66297b39fb0ec98e23d6a,77fdb0517d33f48c84b799776109b966fdab5b63e4fa865c890316795b0e7eea,46f2ead6a0270b698e4b9debf405c81ea665e1ac46d4aa061807cf14d7d07969
MO,8,4,4,253632,116145412,accepted,,2,2,true,true,true,834573dbaaf9a05239ffbf0f4e265ce898900a4077fca7aeeeb03e64107204c4,834573dbaaf9a05239ffbf0f4e265ce898900a4077fca7aeeeb03e64107204c4,5cec902030619b4cf0eb5a6b993281d03428fcd220618d076c890eedeae414ee,25e32fe8e211a274793bbff887b653bfdb4c2bb355e65fcb6e7ab2a9d66a2c49
MS,4,2,2,112241,129219073,accepted,,2,2,true,true,true,9a871268e7fb532b8d21b531b17556ae8a0fb7196f5fa2618433443720b8685c,9a871268e7fb532b8d21b531b17556ae8a0fb7196f5fa2618433443720b8685c,73a0dc49f4a281bacf4530a140fcda0a1edfc62277d5d89e5535f52ff2103679,0f8f1f34b1aa66d36723455a45743e23b1154e753b9644d17cde8eb6d91be66a
MT,2,1,1,88417,89104402,accepted,,2,2,true,true,true,6f396dfcbff4634cc0608f64b7a5bd7d2260c2546084688c0408b59928ffa79a,6f396dfcbff4634cc0608f64b7a5bd7d2260c2546084688c0408b59928ffa79a,2beb5cacee2bc38bc54675a8def6b0f02c3d22c527820cbfa1de8874190bc332,284cbd5d840c8ab5bdffd3c44c8a836872cf52869cf5e2144d3303e1cbb88640
NC,14,7,7,236638,2028471700,accepted,,2,2,true,true,true,367d60ae3479cd27f7afa6333b458b08e8f4be6e5a407fb9e5c01b6daee8bdce,367d60ae3479cd27f7afa6333b458b08e8f4be6e5a407fb9e5c01b6daee8bdce,5ab898b74e779eee0a217c1146d196d20f8a92b042fc8f40cb8f90e7f53f0cd5,8f5b6ac7fed9a905b5db02b90801d5dec6002d66303c2a07c2eeb9888108096a
NE,3,1,2,119103,1995171174,accepted,,1,1,false,true,true,b90d64ac13ad0da148596217d4215ce42680b5c1cfd34549277427debf6ddec8,b90d64ac13ad0da148596217d4215ce42680b5c1cfd34549277427debf6ddec8,999eb8ac1ddd007b70a7e5147f33d12dcff5cc0dfd76ec58b9cfbcbf37b01f97,590739aea5e81c45a5f5444d2120960001cda8ec17432eff48428f431f3d18c1
NH,2,1,1,31948,828041789,accepted,,2,2,true,true,true,0dd1878fdb1eb8a00bcb217218fac14ace8160b0e6c35195ff0c78123c2a4f05,0dd1878fdb1eb8a00bcb217218fac14ace8160b0e6c35195ff0c78123c2a4f05,8b92f34f11b0ad08b17e8f25a062f84b9ec8bdf48f674a1890804a0f6cffad83,b269a989078701db2e86e052704040d8c11c600a9538fc5299b43c64cbd96b15
NJ,12,6,6,137972,1446074189,accepted,,4,2,true,true,true,15c35b7f8c8a200baa36e6543b22364082cd564633af593a38e364a32d909866,15c35b7f8c8a200baa36e6543b22364082cd564633af593a38e364a32d909866,8d06f5fa0d652bb57a07ccfafbff2bb4225db528c166a9dce8ec50e90be589bb,49df08b84eb4a6eac08b78cbabbab217accfd63fb41c56dd4f72077a9be20b36
NM,3,1,2,107215,1922790591,accepted,,10,1,false,true,true,28cf1addf4e9c856a6d99722c1a0ca30856fc1e3cf6309d5c37b51891bc366ff,28cf1addf4e9c856a6d99722c1a0ca30856fc1e3cf6309d5c37b51891bc366ff,563dee5a5584ca50d914f09d38f18361d7952887c6512feaaa53b3abc1920224,dabd0e6e15ba1d2a0a716dbc339394e598ee1de88fcb9e0d5862f35aed00c0dd
NV,4,2,2,57409,227104631,accepted,,2,2,true,true,true,7baa4c23ab526f3b439b9801109ac7e2dc1004197b7c19d25a41a0633e49f2b8,7baa4c23ab526f3b439b9801109ac7e2dc1004197b7c19d25a41a0633e49f2b8,70a36edf383c18cf9641e6c4c884c36e32e8c90edc84e1eafb0fb9f4b7a6bcc8,29ceab5cee82a411e986be288632ba927f2ae0621177dcc052c2c65a723f8848
NY,26,13,13,288819,591379216,accepted,,2,2,true,true,true,5827a2eeb7e3d597aafd5bbc4ca105b75962c0dd7b86a29eaaabd1cd6197946f,5827a2eeb7e3d597aafd5bbc4ca105b75962c0dd7b86a29eaaabd1cd6197946f,3aab4d0e48c4f51f3a7e218a17138be86796b039271f9e593f1b59432526531b,dbc02e431d045d5de2670a80f4f6d66e1b33102b7092f021b4dcc633a4d3e452
OH,15,7,8,276428,378241564,accepted,,1,1,false,true,true,6a0ce97d4b8b800644244d5e1d903bb3479c2bf872f35fd9331d3051050e7933,6a0ce97d4b8b800644244d5e1d903bb3479c2bf872f35fd9331d3051050e7933,3da957b31cf04bc94dd8e3966a97f3a49bb3441ae9c747d7e1b3d2cd64b4dd9f,2f1233b715e4fa30895ddf8216a4fa268bad9f92d9f8cb3ef316255aa9c6d032
OK,5,2,3,180154,1929464259,accepted,,2,1,false,true,true,fd5940194dd27f06b6690773f87331486df41d81c83276f6ce0f1c525ae0f92a,fd5940194dd27f06b6690773f87331486df41d81c83276f6ce0f1c525ae0f92a,679f772e03aff34c383f8cebcdcbccaea9900e3cd4d7ecca901f33afabed62c9,143b737e54fe5b926385d21ab08e32dd0d40820aec449d6a29e9ff08ba9a5364
OR,6,3,3,130807,2129389151,accepted,,2,2,true,true,true,f16fee1c30477cc02850d7cb548fe7d5224b115f871341bda4cbdbbbdb621afa,f16fee1c30477cc02850d7cb548fe7d5224b115f871341bda4cbdbbbdb621afa,9e6b13970fcc95181231831f1c2e3388318eada3b710f54441d3a05cf244dbf0,df3e4f6bc1ea832b5d17388cd9751d8fdd435867c3beabdd0f82c1d8754fe323
PA,17,9,8,336985,470550377,accepted,,1,1,false,true,true,00b9daa2c74cd2339318e781f55db13edfee5262ad0deeeb6dc1e60009e2ff3f,00b9daa2c74cd2339318e781f55db13edfee5262ad0deeeb6dc1e60009e2ff3f,f40c8e8d1b969c017c66ba74457cf6a2458bc236407673b48b8b0a88dc70082f,b6d0c59a8416f54dc47798ab0a1fa6f1ec09b4f4ce35e7062546106bbbe39995
RI,2,1,1,25649,1983447153,accepted,,4,2,true,true,true,c1da70925ab505ad88d58701d49d1004edc5efcd38d70f9e589d180492088640,c1da70925ab505ad88d58701d49d1004edc5efcd38d70f9e589d180492088640,1fa5775fda7b9370f4341e81268df8a24fa256eb2a32e013544b20e67edb265f,b4e7620e8eaa0290de5bd67e5e8dd54952c4572b53f25e8bedd8073e5bb9b87b
SC,7,4,3,146844,1975436248,accepted,,1,1,false,true,true,535d244f7a9f6b48581b5d73bbaf681b99aac1c582af546a058b02d3cdeb4553,535d244f7a9f6b48581b5d73bbaf681b99aac1c582af546a058b02d3cdeb4553,6a053c04a8971ad1186afd40c38b22a33742ec429d6afe3f88231ae8e8c2d412,7ce1a5cfbcd9d5fbaf2b5bb76b26bbe05c3ef0263b916209c33bc594daf648e3
TN,9,5,4,179717,1346701120,accepted,,1,1,false,true,true,04d3e437bef82d07849f8366ec08ba187eeae5f12a2b9d5093a97402ebce9e7c,04d3e437bef82d07849f8366ec08ba187eeae5f12a2b9d5093a97402ebce9e7c,f7992739314df9e6f3366860e9030e2cf5c462e0f3277683acd65d2b9fb0bb18,9023ba187a0cfcfc2ad082235edbd1f74ba119f3ba139b9538403e757482fd34
TX,38,19,19,668757,733787182,accepted,,2,2,true,true,true,963d31cd172fea77520a727473dfef833a0814d77ec60e35fafc98bf9a444294,963d31cd172fea77520a727473dfef833a0814d77ec60e35fafc98bf9a444294,0319224acb2ab923d6b3eb044d2a18384a5cbc240ecbfd6520c4677c77f1973e,4ef1c957b7a0e5446ac6c1ab61d1e390fb7db66060c040f0987282dcd4e2d7fe
UT,4,2,2,71207,1452669607,accepted,,2,2,true,true,true,e99167886ec406df84e092da76cf57a4a98aa870bf3723f5fc42672e8377a717,e99167886ec406df84e092da76cf57a4a98aa870bf3723f5fc42672e8377a717,e5b7b82a67a03a75e3b98241f393253a0df29a8fe3417b552fb69a30313dc0b5,7ad393fb950156d631d3bae692a3e05185d6fc0b5efc76f36ac322254c14589e
VA,11,5,6,163491,1755837082,accepted,,3,1,false,true,true,c2c7c602805362720815fa5560f42da7a3301733d4d7b0f7d7cdd9263f687593,c2c7c602805362720815fa5560f42da7a3301733d4d7b0f7d7cdd9263f687593,fe0c687b6fa9e49dee387edfb0d2f0246388d0d4f0f63429218535873e0cf852,194456906a3a80100eb6ebc0a48cfc648ad1348dcffdc4ec1710b5a01d7860ff
WA,10,5,5,158093,1143689728,accepted,,2,2,true,true,true,726bc7431d986e10fbf16354e3584e1503da96eb64bf2566b9e15c63f7ca9c0d,726bc7431d986e10fbf16354e3584e1503da96eb64bf2566b9e15c63f7ca9c0d,ca7880ae91c0314074e28c5391f60cebeef24d808c5bfc4ba0850ba8444defa3,391c8a7b9ad98fd96a1b86426828aee3bff53e01648aee6e0ee3c020f6b10ad7
WI,8,4,4,203059,1002944906,accepted,,2,2,true,true,true,73421e0215da4561e1114fc1a8baedff39d671ac24eb702046b5e872b1b3dbfe,73421e0215da4561e1114fc1a8baedff39d671ac24eb702046b5e872b1b3dbfe,a8b9410bb0ad8167897615c218e56a64b4915e6da89af665b8fa4593ded8625e,ffb08649caa8c96732fc5418b2a749948d1630b46b8c6a9421491614e18467ed
WV,2,1,1,72558,1979592460,accepted,,2,2,true,true,true,200299adc9856f5131b57ee5107577558b21ed41cc106ee59e48bcf31a1c0322,200299adc9856f5131b57ee5107577558b21ed41cc106ee59e48bcf31a1c0322,c32629e0cff8ee536a972751832c24ab4b4ffd3085ead77785f365b7967e46c8,af2ca8cf9961e04b9093366bd8b5a69ce2c65389fd38d54ec33d9395ff41a0be
