census_year,state,state_districts,level,total_geographies,split_geographies,unsplit_geographies,split_fraction,district_geography_pieces,excess_pieces,max_districts_in_geography,source_blocks
2000,AK,1,county,27,0,27,0.000000000000,27,0,1,21874
2000,AK,1,tract,158,0,158,0.000000000000,158,0,1,21874
2000,AL,7,county,67,49,18,0.731343283582,134,67,4,175220
2000,AL,7,tract,1081,254,827,0.234967622572,1354,273,4,175220
2000,AR,4,county,75,34,41,0.453333333333,112,37,3,141178
2000,AR,4,tract,624,99,525,0.158653846154,728,104,3,141178
2000,AZ,8,county,15,12,3,0.800000000000,39,24,8,158294
2000,AZ,8,tract,1107,377,730,0.340560072267,1520,413,5,158294
2000,CA,53,county,58,51,7,0.879310344828,224,166,22,533163
2000,CA,53,tract,7049,2239,4810,0.317633706909,9503,2454,5,533163
2000,CO,7,county,63,26,37,0.412698412698,104,41,5,141040
2000,CO,7,tract,1062,235,827,0.221280602637,1312,250,3,141040
2000,CT,5,county,8,8,0,1.000000000000,23,15,4,53835
2000,CT,5,tract,819,222,597,0.271062271062,1045,226,3,53835
2000,DE,1,county,3,0,3,0.000000000000,3,0,1,17483
2000,DE,1,tract,197,0,197,0.000000000000,197,0,1,17483
2000,FL,25,county,67,57,10,0.850746268657,186,119,7,362499
2000,FL,25,tract,3154,878,2276,0.278376664553,4110,956,5,362499
2000,GA,13,county,159,108,51,0.679245283019,330,171,5,214576
2000,GA,13,tract,1618,525,1093,0.324474660074,2207,589,4,214576
2000,HI,2,county,5,1,4,0.200000000000,6,1,2,18990
2000,HI,2,tract,286,46,240,0.160839160839,332,46,2,18990
2000,IA,5,county,99,51,48,0.515151515152,165,66,5,168075
2000,IA,5,tract,793,180,613,0.226986128625,991,198,4,168075
2000,ID,2,county,44,18,26,0.409090909091,62,18,2,88452
2000,ID,2,tract,280,55,225,0.196428571429,335,55,2,88452
2000,IL,19,county,102,78,24,0.764705882353,241,139,14,366137
2000,IL,19,tract,2966,864,2102,0.291301416049,3948,982,4,366137
2000,IN,9,county,92,55,37,0.597826086957,167,75,4,201321
2000,IN,9,tract,1414,281,1133,0.198727015559,1708,294,3,201321
2000,KS,4,county,105,49,56,0.466666666667,163,58,3,173107
2000,KS,4,tract,727,150,577,0.206327372765,885,158,3,173107
2000,KY,6,county,120,60,60,0.500000000000,200,80,5,122141
2000,KY,6,tract,994,248,746,0.249496981891,1257,263,4,122141
2000,LA,7,county,64,42,22,0.656250000000,123,59,4,139867
2000,LA,7,tract,1106,241,865,0.217902350814,1366,260,4,139867
2000,MA,10,county,14,12,2,0.857142857143,52,38,10,109997
2000,MA,10,tract,1367,385,982,0.281638624726,1781,414,3,109997
2000,MD,8,county,24,13,11,0.541666666667,55,31,6,79128
2000,MD,8,tract,1218,317,901,0.260262725780,1556,338,3,79128
2000,ME,2,county,16,6,10,0.375000000000,22,6,2,56893
2000,ME,2,tract,348,47,301,0.135057471264,395,47,2,56893
2000,MI,15,county,83,46,37,0.554216867470,179,96,8,258925
2000,MI,15,tract,2757,754,2003,0.273485672833,3575,818,4,258925
2000,MN,8,county,87,38,49,0.436781609195,141,54,5,200222
2000,MN,8,tract,1303,288,1015,0.221028396009,1602,299,4,200222
2000,MO,9,county,115,70,45,0.608695652174,226,111,5,241532
2000,MO,9,tract,1320,350,970,0.265151515152,1707,387,4,241532
2000,MS,4,county,82,36,46,0.439024390244,133,51,4,136150
2000,MS,4,tract,605,101,504,0.166942148760,726,121,4,136150
2000,MT,1,county,56,0,56,0.000000000000,56,0,1,99018
2000,MT,1,tract,270,0,270,0.000000000000,270,0,1,99018
2000,NC,13,county,100,70,30,0.700000000000,223,123,6,232403
2000,NC,13,tract,1563,550,1013,0.351887396033,2175,612,4,232403
2000,ND,1,county,53,0,53,0.000000000000,53,0,1,84351
2000,ND,1,tract,227,0,227,0.000000000000,227,0,1,84351
2000,NE,3,county,93,42,51,0.451612903226,140,47,3,133692
2000,NE,3,tract,503,98,405,0.194831013917,604,101,3,133692
2000,NH,2,county,10,7,3,0.700000000000,17,7,2,34728
2000,NH,2,tract,273,58,215,0.212454212454,331,58,2,34728
2000,NJ,13,county,21,17,4,0.809523809524,71,50,6,141342
2000,NJ,13,tract,1950,556,1394,0.285128205128,2562,612,4,141342
2000,NM,3,county,33,15,18,0.454545454545,51,18,3,137055
2000,NM,3,tract,456,61,395,0.133771929825,520,64,3,137055
2000,NV,3,county,17,5,12,0.294117647059,23,6,3,60831
2000,NV,3,tract,487,70,417,0.143737166324,560,73,3,60831
2000,NY,29,county,62,59,3,0.951612903226,195,133,7,298506
2000,NY,29,tract,4907,1386,3521,0.282453637660,6394,1487,4,298506
2000,OH,18,county,88,73,15,0.829545454545,218,130,6,277807
2000,OH,18,tract,2941,764,2177,0.259775586535,3786,845,4,277807
2000,OK,5,county,77,40,37,0.519480519481,132,55,4,176064
2000,OK,5,tract,990,192,798,0.193939393939,1195,205,4,176064
2000,OR,5,county,36,20,16,0.555555555556,66,30,4,156232
2000,OR,5,tract,755,165,590,0.218543046358,928,173,3,156232
2000,PA,19,county,67,61,6,0.910447761194,209,142,9,322424
2000,PA,19,tract,3135,1065,2070,0.339712918660,4317,1182,4,322424
2000,RI,2,county,5,4,1,0.800000000000,9,4,2,21023
2000,RI,2,tract,234,35,199,0.149572649573,269,35,2,21023
2000,SC,6,county,46,33,13,0.717391304348,94,48,3,143919
2000,SC,6,tract,867,231,636,0.266435986159,1114,247,3,143919
2000,SD,1,county,66,0,66,0.000000000000,66,0,1,77951
2000,SD,1,tract,235,0,235,0.000000000000,235,0,1,77951
2000,TN,9,county,95,68,27,0.715789473684,189,94,4,182203
2000,TN,9,tract,1261,312,949,0.247422680412,1591,330,3,182203
2000,TX,32,county,254,172,82,0.677165354331,539,285,9,675062
2000,TX,32,tract,4388,1322,3066,0.301276207840,5848,1460,4,675062
2000,UT,3,county,29,23,6,0.793103448276,64,35,3,74704
2000,UT,3,tract,496,144,352,0.290322580645,653,157,3,74704
2000,VA,11,county,135,89,46,0.659259259259,263,128,4,145399
2000,VA,11,tract,1541,429,1112,0.278390655419,2008,467,4,145399
2000,VT,1,county,14,0,14,0.000000000000,14,0,1,24824
2000,VT,1,tract,179,0,179,0.000000000000,179,0,1,24824
2000,WA,9,county,39,26,13,0.666666666667,89,50,7,170871
2000,WA,9,tract,1318,319,999,0.242033383915,1658,340,3,170871
2000,WI,8,county,72,49,23,0.680555555556,147,75,5,200348
2000,WI,8,tract,1333,323,1010,0.242310577644,1679,346,4,200348
2000,WV,3,county,55,19,36,0.345454545455,74,19,2,81788
2000,WV,3,tract,466,52,414,0.111587982833,518,52,2,81788
2000,WY,1,county,23,0,23,0.000000000000,23,0,1,67264
2000,WY,1,tract,127,0,127,0.000000000000,127,0,1,67264
2010,AK,1,county,29,0,29,0.000000000000,29,0,1,45292
2010,AK,1,tract,167,0,167,0.000000000000,167,0,1,45292
2010,AL,7,county,67,48,19,0.716417910448,139,72,5,252266
2010,AL,7,tract,1181,254,927,0.215071972904,1460,279,4,252266
2010,AR,4,county,75,37,38,0.493333333333,115,40,3,186211
2010,AR,4,tract,686,129,557,0.188046647230,816,130,3,186211
2010,AZ,9,county,15,12,3,0.800000000000,44,29,8,241666
2010,AZ,9,tract,1526,380,1146,0.249017038008,1944,418,4,241666
2010,CA,53,county,58,54,4,0.931034482759,241,183,23,710145
2010,CA,53,tract,8057,2355,5702,0.292292416532,10694,2637,5,710145
2010,CO,7,county,64,38,26,0.593750000000,135,71,5,201062
2010,CO,7,tract,1249,382,867,0.305844675741,1687,438,4,201062
2010,CT,5,county,8,7,1,0.875000000000,25,17,5,67578
2010,CT,5,tract,833,246,587,0.295318127251,1101,268,3,67578
2010,DE,1,county,3,0,3,0.000000000000,3,0,1,24115
2010,DE,1,tract,218,0,218,0.000000000000,218,0,1,24115
2010,FL,27,county,67,58,9,0.865671641791,202,135,8,484481
2010,FL,27,tract,4245,1161,3084,0.273498233216,5535,1290,5,484481
2010,GA,14,county,159,104,55,0.654088050314,319,160,9,291086
2010,GA,14,tract,1969,579,1390,0.294057897410,2609,640,3,291086
2010,HI,2,county,5,1,4,0.200000000000,6,1,2,25016
2010,HI,2,tract,351,34,317,0.096866096866,385,34,2,25016
2010,IA,4,county,99,33,66,0.333333333333,151,52,4,216007
2010,IA,4,tract,825,122,703,0.147878787879,972,147,4,216007
2010,ID,2,county,44,16,28,0.363636363636,60,16,2,149842
2010,ID,2,tract,298,36,262,0.120805369128,334,36,2,149842
2010,IL,18,county,102,65,37,0.637254901961,217,115,12,451554
2010,IL,18,tract,3123,879,2244,0.281460134486,4082,959,5,451554
2010,IN,9,county,92,61,31,0.663043478261,171,79,4,267071
2010,IN,9,tract,1511,360,1151,0.238252812707,1890,379,3,267071
2010,KS,4,county,105,36,69,0.342857142857,149,44,3,238600
2010,KS,4,tract,770,140,630,0.181818181818,918,148,3,238600
2010,KY,6,county,120,65,55,0.541666666667,210,90,5,161672
2010,KY,6,tract,1115,284,831,0.254708520179,1425,310,5,161672
2010,LA,6,county,64,44,20,0.687500000000,128,64,5,204447
2010,LA,6,tract,1148,288,860,0.250871080139,1456,308,4,204447
2010,MA,9,county,14,12,2,0.857142857143,46,32,8,157508
2010,MA,9,tract,1478,406,1072,0.274695534506,1930,452,4,157508
2010,MD,8,county,24,20,4,0.833333333333,57,33,5,145247
2010,MD,8,tract,1406,333,1073,0.236842105263,1752,346,3,145247
2010,ME,2,county,16,9,7,0.562500000000,25,9,2,69518
2010,ME,2,tract,358,53,305,0.148044692737,411,53,2,69518
2010,MI,14,county,83,46,37,0.554216867470,178,95,7,329885
2010,MI,14,tract,2813,721,2092,0.256309989335,3592,779,4,329885
2010,MN,8,county,87,44,43,0.505747126437,147,60,5,259777
2010,MN,8,tract,1338,316,1022,0.236173393124,1678,340,4,259777
2010,MO,8,county,115,61,54,0.530434782609,199,84,4,343565
2010,MO,8,tract,1393,338,1055,0.242641780330,1759,366,3,343565
2010,MS,4,county,82,39,43,0.475609756098,128,46,3,171778
2010,MS,4,tract,664,113,551,0.170180722892,786,122,3,171778
2010,MT,1,county,56,0,56,0.000000000000,56,0,1,132288
2010,MT,1,tract,271,0,271,0.000000000000,271,0,1,132288
2010,NC,13,county,100,68,32,0.680000000000,235,135,5,288987
2010,NC,13,tract,2195,698,1497,0.317995444191,2963,768,3,288987
2010,ND,1,county,53,0,53,0.000000000000,53,0,1,133769
2010,ND,1,tract,205,0,205,0.000000000000,205,0,1,133769
2010,NE,3,county,93,31,62,0.333333333333,127,34,3,193352
2010,NE,3,tract,532,97,435,0.182330827068,631,99,3,193352
2010,NH,2,county,10,6,4,0.600000000000,16,6,2,48837
2010,NH,2,tract,295,64,231,0.216949152542,359,64,2,48837
2010,NJ,12,county,21,19,2,0.904761904762,76,55,5,169588
2010,NJ,12,tract,2010,488,1522,0.242786069652,2549,539,4,169588
2010,NM,3,county,33,16,17,0.484848484848,51,18,3,168609
2010,NM,3,tract,499,72,427,0.144288577154,573,74,3,168609
2010,NV,4,county,17,8,9,0.470588235294,27,10,3,84538
2010,NV,4,tract,687,113,574,0.164483260553,802,115,3,84538
2010,NY,27,county,62,56,6,0.903225806452,196,134,8,350169
