diagnostic_index,seed_digest_sha256,seed_u64_little_endian,engine_seed,status,exit_code,failure,discovery_sha256,assignment_sha256,assignment_offset,assignment_bytes,matched_units,matched_unit_rate,max_population_deviation_scaled,total_population_deviation_scaled,weighted_boundary_cut,population_tolerance_pass,benchmark_assignment_reproduction
1,ffc24fd279805fa8262cc3e90b48b79e5e115dacd931d048f08026043134b9af,12132557181867246335,588170229,accepted,0,,c477575ce19ea5df63f996d063684844ddd5190985ffb055c89fa40e5c6fbd7f,f27176f8ff0951e6be092edac769bc4824b505b0ecb41e8562b765f334b60bbb,0,3994,31948,1.0,11,22,583467453,true,true
2,5098c0a564270e4c008a1dca4b6feba5909d7332f49bb8c228f348288845dafe,5480361109787547728,1037887258,accepted,0,,24fd4f8c421622e02463a295c087996afe53e3548c852bb582628385a24aeb03,f27176f8ff0951e6be092edac769bc4824b505b0ecb41e8562b765f334b60bbb,3994,3994,31948,1.0,11,22,583467453,true,true
3,ac02f497770f2a97ece08e987cb16de5ce95621329e3a27c9a7b6d04e2e58858,10892535655073841836,1179132317,accepted,0,,4ce79b427ae29b8e557809a3b7b3478521a24874181c1e890b85f547accb2233,f27176f8ff0951e6be092edac769bc4824b505b0ecb41e8562b765f334b60bbb,7988,3994,31948,1.0,11,22,583467453,true,true
4,3be799be59e77124a72bfdd05873b71ee3bfeea19d197113236936c815f187f4,2626134430369572667,125679087,accepted,0,,05afa8c0ac2975fb3d303e2d91bc6a429ef3d0110349853a176ae882aed46423,f27176f8ff0951e6be092edac769bc4824b505b0ecb41e8562b765f334b60bbb,11982,3994,31948,1.0,11,22,583467453,true,true
5,f674813203a9c03a4c0686f236d2158900fba8a6ce6a14a5d87972aaf721af02,4233569480925607158,671270653,accepted,0,,3ea6c9bdb3e8e65abc87f76d5e11ef3d415733c378610b0e7c750160bce52359,f27176f8ff0951e6be092edac769bc4824b505b0ecb41e8562b765f334b60bbb,15976,3994,31948,1.0,11,22,583467453,true,true
6,2c49bfcd01429076780901362713fa111890f833ab5d449bc4c1d5edc9b3a716,8543401068636096812,987745585,accepted,0,,71182389adffea92c875ec7aa8a8241d108528caf49ce2c8c102fe8b7c7ab7e8,f27176f8ff0951e6be092edac769bc4824b505b0ecb41e8562b765f334b60bbb,19970,3994,31948,1.0,11,22,583467453,true,true
7,49bff7fd17c4eab39278637253038d7054197504054fe5ce867508463a78eb30,12964390084663557961,1707951995,accepted,0,,939acaf3b1da78e7b1c3252f8864709649fb12dba1e46c1de00894f90fe92d36,f27176f8ff0951e6be092edac769bc4824b505b0ecb41e8562b765f334b60bbb,23964,3994,31948,1.0,11,22,583467453,true,true
8,2263382de99b7fa79b990fa915dc5519661cce6b8253489d7cd867f92cbfe68e,12069536952164573986,2084018934,accepted,0,,1c17a812d71ceda06658f2e43ebb380fe74f8fd46deab86801ee9409a8bc621e,f27176f8ff0951e6be092edac769bc4824b505b0ecb41e8562b765f334b60bbb,27958,3994,31948,1.0,11,22,583467453,true,true
9,7bdaa049b15a8082e63fe11767efd0ed40c30c3dec28ebdd2171903dd317e2dc,9403615739440585339,1319210975,accepted,0,,0140531db1a5b4980f2c84dd36f6b61d04cc52510b5fef079d85ca7270d9a28f,f27176f8ff0951e6be092edac769bc4824b505b0ecb41e8562b765f334b60bbb,31952,3994,31948,1.0,11,22,583467453,true,true
10,97858a4f7192bc54b0b34da5595d0e182a26655d09ea50aeb8ebd545f2a3df21,6105916210170987927,2030283386,accepted,0,,78aa60175632a3594c495eff6aaaba5dff4f0f69b1d39c8def2d364820702a49,f27176f8ff0951e6be092edac769bc4824b505b0ecb41e8562b765f334b60bbb,35946,3994,31948,1.0,11,22,583467453,true,true
