left,right,matched_units,different_units,matched_unit_rate
standard-bisect,ratio-optimal,837,705,0.5428015564202334
standard-bisect,ratio-optimal-area,995,547,0.64526588845655
standard-bisect,prime-factor,1022,520,0.6627756160830091
ratio-optimal,ratio-optimal-area,980,562,0.6355382619974059
ratio-optimal,prime-factor,833,709,0.540207522697795
ratio-optimal-area,prime-factor,891,651,0.5778210116731517
