diagnostic_index,seed_digest_sha256,seed_u64_little_endian,engine_seed,status,exit_code,failure,discovery_sha256,assignment_sha256,assignment_offset,assignment_bytes,matched_units,matched_unit_rate,max_population_deviation_scaled,total_population_deviation_scaled,weighted_boundary_cut,population_tolerance_pass,benchmark_assignment_reproduction
1,ae4a31c6763bcb023145fb0cd816b5ea3bae3c764a5b3e219178230a7d9b1713,201319989665417902,1271382427,accepted,0,,7678c00593e0e5b808f74faf05a44803ab9c62ecf5cd71b7a03673bcb9a78ee5,ffee0802a2bc98951888d08f62690e50ef3cfec1af6e5a37aa23e2bb2a26a777,0,29090,232717,1.0,364,728,3195885625,true,true
2,2eac9bb0e5e7e3836e923da1c046dae03317e9dbe88986325ab617f03a29c90d,9503694612378397742,946043899,accepted,0,,39b232a665c71ee7bd9419276bcb26dd0f19a1c9ce1296fd5c257f5e8eedc869,ffee0802a2bc98951888d08f62690e50ef3cfec1af6e5a37aa23e2bb2a26a777,29090,29090,232717,1.0,364,728,3195885625,true,true
3,afd75191b203b24921cbcbd20c716e869fdbbdfce316135dabaa58336669a963,5310310976100358063,615898901,accepted,0,,002b6ac5bcbadea8e260fc103b09aba87d97d9ee26ef7b2145e669df7afa3aa9,ffee0802a2bc98951888d08f62690e50ef3cfec1af6e5a37aa23e2bb2a26a777,58180,29090,232717,1.0,364,728,3195885625,true,true
4,5c3b40be5dd7ca37611faa798377343ef6b74abf365407db8e4c89f4ef10b1a3,4020262415005399900,768993816,accepted,0,,cb42c254e549f02e612b7420f4431ca53c7a195a403ffb3a79114dea55a9f59e,ffee0802a2bc98951888d08f62690e50ef3cfec1af6e5a37aa23e2bb2a26a777,87270,29090,232717,1.0,364,728,3195885625,true,true
5,cbc9c3a8c5c94048929f6fcde41c7b3bd794ce4f94bab697c3a0e5763781a853,5206383020017437131,960847191,accepted,0,,5046e815cde64ebdd394ffccdab25ac0e268f4f00d00ab1ec7c7ea283111d746,ffee0802a2bc98951888d08f62690e50ef3cfec1af6e5a37aa23e2bb2a26a777,116360,29090,232717,1.0,364,728,3195885625,true,true
6,598fc8a13391ec6f1cf8e05817222a3d8421b60094c941c97a75f0ae828be260,8064980683657351001,27374018,accepted,0,,55fcc93b3de9d55ab027880053ec975f30b2515760f790a3376b20c2c3c1b060,ffee0802a2bc98951888d08f62690e50ef3cfec1af6e5a37aa23e2bb2a26a777,145450,29090,232717,1.0,364,728,3195885625,true,true
7,ed5d5659cff3f0a448c512bd07fe0495b83ac43999b3a4a1e4c46412a9a6f105,11885267488513351149,590890382,accepted,0,,b224607d8e9d23339067bc6084b7084e6349264105e7da19bb4094f4e8bde77c,ffee0802a2bc98951888d08f62690e50ef3cfec1af6e5a37aa23e2bb2a26a777,174540,29090,232717,1.0,364,728,3195885625,true,true
8,056de26fdb0da10be1409630126b89ac1520f000c0fba43e767ebe99c813700e,837966241793731845,119834812,accepted,0,,e7822a7c1f52057960e07f3ea91df424515add3f4fd6b89d39022a9b8148437e,ffee0802a2bc98951888d08f62690e50ef3cfec1af6e5a37aa23e2bb2a26a777,203630,29090,232717,1.0,364,728,3195885625,true,true
9,a9c0f955691a5aa334eb503840a1a93a92fc79da4ccf06fde57c68f71a183a0c,11770749615802532009,481162622,accepted,0,,4066b2cfa5edff50366b04dcb3df7853c044d7dc51242845131c8926beb27521,ffee0802a2bc98951888d08f62690e50ef3cfec1af6e5a37aa23e2bb2a26a777,232720,29090,232717,1.0,364,728,3195885625,true,true
10,686078f605d38eb306f4528472d8b4f9b936110c3aec1a28fd974b3155386951,12938510802045395048,1570113142,accepted,0,,94d00be80d44fc4e7b76846cd9c90527fdb77de59713042ebcde83f40453f9bd,ffee0802a2bc98951888d08f62690e50ef3cfec1af6e5a37aa23e2bb2a26a777,261810,29090,232717,1.0,364,728,3195885625,true,true
