state,sampler,metric,benchmark,mean,std,split_r_hat,ess_pooled,benchmark_percentile,converged
NH,wilson,cut_fraction,0.010826572008113591,0.008701648076996207,0.002017415099259444,1.0006139990819642,5106.753722932537,0.8518333333333333,True
NH,wilson,weighted_boundary_cut,583467453.0,500779755.374,129723916.04651119,1.0003593670183029,5337.666959898966,0.7575,True
NH,kruskal,cut_fraction,0.010826572008113591,0.006775008451775648,0.0014426456683732955,0.9999455321103523,5259.329739326744,0.9926666666666667,True
NH,kruskal,weighted_boundary_cut,583467453.0,401785007.3685,91818575.75135571,0.9999434830273669,5375.450454517394,0.9643333333333334,True
NM,wilson,cut_fraction,0.008831648103092936,0.008425150479112442,0.0015604330128828568,1.005507030593277,1197.4076947539295,0.6376666666666667,True
NM,wilson,weighted_boundary_cut,3332424290.0,3519707483.8458333,679322979.2382306,1.0031240709687668,1234.4497994046883,0.42333333333333334,True
NM,kruskal,cut_fraction,0.008831648103092936,0.006928776389686391,0.0011450850153476642,1.0058552756400923,899.8861447691528,0.9435,True
NM,kruskal,weighted_boundary_cut,3332424290.0,2817628160.0698333,456566237.6196135,1.00559073911617,1058.265216269756,0.8688333333333333,True
GA,wilson,cut_fraction,0.02308866268963887,0.017931936866293352,0.0010516228714935719,1.046559753967835,66.4691875718759,1.0,False
GA,wilson,weighted_boundary_cut,9826523538.0,7628325807.4735,472508241.3333978,1.0276721768163763,132.51796397623596,1.0,True
GA,kruskal,cut_fraction,0.02308866268963887,0.014090781863623609,0.000776881909946829,1.041216978465149,108.92305106863115,1.0,True
GA,kruskal,weighted_boundary_cut,9826523538.0,6326373945.9445,374401833.39756477,1.0750665997904008,53.88475600642049,1.0,False
